Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
843,John Zeiler\zeilejo01,25,LAK,RW,36,168,264,38.9,-12.9,131,193,40.4,-10.4,3.5,93.3,96.8,53.6,46.4,8:29,8:11,7,7,31,58.1
844,Henrik Zetterberg\zettehe01,27,DET,LW,75,1312,745,63.8,6.4,1034,583,63.9,6.3,9.4,91.1,100.5,54.1,45.9,22:04,15:19,53,59,565,63.4
845,Nikolai Zherdev\zherdni01,23,CBJ,RW,82,1152,905,56.0,5.1,891,704,55.9,5.0,6.8,90.5,97.3,51.9,48.1,19:22,15:10,48,60,439,57.9
846,Alexei Zhitnik\zhitnal01,35,ATL,D,65,859,1019,45.7,2.0,656,816,44.6,1.2,8.0,92.2,100.2,41.0,59.0,19:01,16:42,24,36,171,45.0
847,Marek Zidlicky\zidlima01,30,NSH,D,79,1198,1012,54.2,5.1,925,809,53.3,4.5,8.2,91.2,99.4,57.4,42.6,20:50,15:33,39,36,241,50.6
848,Mike Zigomanis\zigommi01,27,PHX,C,33,209,274,43.3,-8.7,170,212,44.5,-8.2,5.1,92.2,97.2,38.2,61.8,12:24,9:10,12,4,53,66.0
849,Ilya Zubov\zubovil01,20,OTT,C,1,7,9,43.8,,3,7,30.0,,0.0,100.0,100.0,83.3,16.7,14:38,13:42,1,0,0,
850,Sergei Zubov\zubovse01,37,DAL,D,46,671,613,52.3,1.7,495,506,49.5,-0.9,10.9,90.1,101.0,54.5,45.5,25:42,17:29,30,45,186,45.2
851,Dainius Zubrus\zubruda01,29,NJD,C,82,929,809,53.5,-0.1,710,638,52.7,-0.7,8.7,91.9,100.6,56.8,43.2,15:42,12:35,35,21,237,54.0
852,Andrei Zyuzin\zyuzian01,30,CHI,D,32,275,312,46.8,-7.0,207,237,46.6,-6.5,6.4,88.9,95.3,45.8,54.2,14:58,11:33,6,10,68,50.0
