Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
831,Antoine Vermette\vermean01,32,TOT,C,82,1051,1133,48.1,-2.4,782,854,47.8,-2.0,6.8,90.2,96.9,53.5,46.5,17:50,14:03,30,36,-13.6,188,58.0
832,Kris Versteeg\verstkr01,28,CHI,LW,61,882,750,54.0,0.6,636,578,52.4,-0.3,8.6,93.8,102.3,67.4,32.6,15:51,13:55,31,24,0.1,228,58.8
833,Linden Vey\veyli01,23,VAN,RW,75,722,782,48.0,-1.0,548,598,47.8,-2.3,8.0,92.3,100.3,52.5,47.5,13:10,11:11,25,28,-8.0,125,48.8
834,Tomas Vincour\vincoto01,24,COL,C,7,41,47,46.6,-0.7,32,33,49.2,2.4,4.2,91.7,95.8,63.4,36.6,7:10,7:06,1,2,-0.3,6,33.3
835,Lubomir Visnovsky\visnolu01,38,NYI,D,53,923,747,55.3,1.9,688,533,56.3,1.8,8.8,88.8,97.6,54.0,46.0,19:32,16:49,46,46,11.8,181,47.0
836,Joe Vitale\vitaljo01,29,ARI,C,70,516,701,42.4,-7.7,371,506,42.3,-7.1,4.0,93.9,97.9,35.0,65.0,11:14,8:46,30,11,-5.8,95,57.9
837,Marc-Edouard Vlasic\vlasima01,27,SJS,D,70,1270,1177,51.9,1.6,918,863,51.5,1.6,8.9,92.6,101.6,42.6,57.4,22:07,18:08,11,31,5.7,236,41.1
838,Anton Volchenkov\volchan01,32,NSH,D,46,529,494,51.7,-0.4,374,355,51.3,-1.6,9.3,92.3,101.6,50.7,49.3,13:11,12:03,3,13,1.8,79,44.3
839,Aaron Volpatti\volpaaa01,29,WSH,LW,2,14,14,50.0,4.1,12,8,60.0,16.6,0.0,100.0,100.0,44.4,55.6,9:37,9:37,0,1,0.3,3,33.3
840,Jakub Voracek\voracja01,25,PHI,RW,82,1332,1114,54.5,7.3,952,832,53.4,6.3,8.1,91.3,99.4,61.1,38.9,18:35,15:17,34,42,14.7,418,52.9
841,Slava Voynov\voynovi01,25,LAK,D,6,88,116,43.1,-6.7,65,94,40.9,-7.5,5.3,97.1,102.3,37.3,62.7,23:11,17:44,1,8,-2.8,19,26.3
842,Radim Vrbata\vrbatra01,33,VAN,RW,79,1002,966,50.9,2.3,745,713,51.1,1.5,9.5,91.2,100.6,52.7,47.3,16:37,13:33,33,26,-2.2,451,59.2
843,Chris Wagner\wagnech01,23,ANA,RW,9,50,60,45.5,-3.8,40,42,48.8,-1.8,4.2,88.5,92.6,44.4,55.6,8:47,8:19,1,0,-0.8,14,50.0
844,Joel Ward\wardjo02,34,WSH,RW,82,1015,1013,50.0,-1.8,738,718,50.7,-1.1,7.9,91.9,99.8,46.0,54.0,16:52,13:34,39,19,6.6,233,59.2
845,David Warsofsky\warsoda01,24,BOS,D,4,57,41,58.2,-0.5,39,34,53.4,-7.0,7.1,95.0,102.1,60.5,39.5,17:46,14:29,0,1,0.8,14,50.0
846,Mike Weaver\weavemi01,36,MTL,D,31,293,356,45.1,-4.8,203,241,45.7,-4.6,9.5,91.1,100.6,42.5,57.5,14:10,11:12,5,17,-1.8,33,24.2
847,Mike Weber\webermi01,27,BUF,D,64,727,1163,38.5,1.1,547,803,40.5,2.7,5.3,91.9,97.2,39.9,60.1,18:45,16:14,10,40,-10.4,113,36.3
848,Shea Weber\webersh01,29,NSH,D,78,1616,1605,50.2,-4.5,1205,1158,51.0,-3.6,7.9,93.1,101.0,46.8,53.2,26:19,20:40,23,53,4.3,463,51.2
849,Yannick Weber\weberya01,26,VAN,D,65,899,918,49.5,0.0,692,693,50.0,-0.6,8.7,91.7,100.4,54.9,45.1,17:11,15:01,14,35,-2.1,244,48.4
850,Dale Weise\weiseda01,26,MTL,RW,79,764,926,45.2,-4.1,554,666,45.4,-4.3,10.9,95.2,106.1,46.6,53.4,12:11,11:28,26,12,-0.1,154,58.4
851,Stephen Weiss\weissst01,31,DET,C,52,421,382,52.4,-1.9,316,302,51.1,-1.6,8.4,92.4,100.9,56.7,43.3,11:21,9:13,9,18,0.0,92,57.6
852,Alexander Wennberg\wennbal01,20,CBJ,C,68,723,744,49.3,0.2,532,579,47.9,-0.8,6.3,89.9,96.2,47.5,52.5,15:37,12:21,25,11,-3.7,144,59.0
853,Blake Wheeler\wheelbl01,28,WPG,RW,79,1187,990,54.5,2.7,882,734,54.6,3.8,9.6,93.0,102.6,52.1,47.9,19:39,14:32,35,35,13.5,416,58.7
854,Ryan White\whitery01,26,PHI,C,34,323,314,50.7,1.3,235,222,51.4,2.8,7.6,93.9,101.5,53.7,46.3,11:43,10:43,8,8,0.6,71,63.4
855,Joe Whitney\whitnjo01,26,NJD,RW,4,13,27,32.5,-9.6,9,22,29.0,-12.6,25.0,83.3,108.3,44.4,55.6,6:53,6:52,0,0,-0.3,2,50.0
856,Dennis Wideman\widemde01,31,CGY,D,80,1401,1836,43.3,-2.8,987,1241,44.3,-3.3,10.8,91.8,102.6,49.6,50.4,24:38,19:58,51,92,-13.3,378,45.8
857,Patrick Wiercioch\wiercpa01,24,OTT,D,56,895,735,54.9,6.0,672,567,54.2,7.0,6.6,92.8,99.4,56.5,43.5,18:03,15:27,10,47,7.3,181,43.6
858,Justin Williams\williju01,33,LAK,RW,81,1162,897,56.4,2.7,856,698,55.1,1.8,8.2,91.7,99.9,54.3,45.7,15:48,13:59,25,57,11.3,307,56.7
859,Colin Wilson\wilsoco01,25,NSH,C,77,1166,936,55.5,4.3,839,676,55.4,3.8,8.6,93.4,101.9,60.3,39.7,16:12,13:38,29,32,15.9,284,60.6
860,Garrett Wilson\wilsoga01,23,FLA,LW,2,19,16,54.3,3.2,13,10,56.5,8.5,0.0,75.0,75.0,45.5,54.5,8:51,8:40,0,0,0.4,8,62.5
861,Ryan Wilson\wilsory01,27,COL,D,3,23,27,46.0,-3.8,17,20,45.9,-4.1,0.0,81.3,81.3,56.5,43.5,11:12,9:49,0,3,-0.6,8,37.5
862,Scott Wilson\wilsosc01,22,PIT,C,1,1,3,25.0,-16.0,1,3,25.0,-14.7,0.0,,,33.3,66.7,4:21,4:21,0,0,0.0,,
863,Tom Wilson\wilsoto01,20,WSH,RW,67,702,614,53.3,2.8,511,421,54.8,4.5,6.6,92.2,98.9,57.4,42.6,10:55,10:46,20,10,2.7,150,52.7
864,Tommy Wingels\wingeto01,26,SJS,C,75,992,1051,48.6,-3.4,720,779,48.0,-3.7,6.8,91.9,98.6,50.1,49.9,16:28,13:35,33,40,-0.4,263,59.7
865,Daniel Winnik\winnida01,29,TOT,C,79,966,970,49.9,1.9,733,714,50.7,2.9,9.0,94.9,103.9,46.8,53.2,16:38,13:18,44,25,3.9,173,56.1
866,James Wisniewski\wisnija01,30,TOT,D,69,1106,1086,50.5,3.1,819,826,49.8,1.9,7.7,90.0,97.7,52.3,47.7,21:11,16:12,12,33,-6.5,310,47.4
867,Luke Witkowski\witkolu01,24,TBL,D,16,201,202,49.9,0.3,156,150,51.0,2.4,8.5,90.4,98.9,45.3,54.7,15:11,14:28,2,10,0.8,31,35.5
868,David Wolf\wolfda01,25,CGY,LW,3,19,19,50.0,-0.8,12,17,41.4,-14.2,0.0,100.0,100.0,47.8,52.2,9:23,9:23,1,0,-0.4,5,20.0
869,Brendan Woods\woodsbr01,22,CAR,LW,2,6,15,28.6,-20.1,5,8,38.5,-11.5,0.0,66.7,66.7,50.0,50.0,6:02,6:02,0,0,0.1,4,75.0
870,Tyler Wotherspoon\wothety01,21,CGY,D,1,11,12,47.8,,5,7,41.7,,0.0,40.0,40.0,20.0,80.0,20:19,15:43,0,0,-0.2,6,33.3
871,Bogdan Yakimov\yakimbo01,20,EDM,C,1,8,5,61.5,8.7,5,5,50.0,-3.4,0.0,66.7,66.7,100.0,0.0,11:19,11:19,0,0,-0.3,1,100.0
872,Nail Yakupov\yakupna01,21,EDM,RW,81,963,1099,46.7,-2.3,708,833,45.9,-2.6,6.1,89.1,95.3,61.0,39.0,15:26,13:32,34,55,-9.1,337,56.7
873,Keith Yandle\yandlke01,28,TOT,D,84,1546,1566,49.7,1.3,1175,1184,49.8,1.6,6.5,90.7,97.2,58.7,41.3,22:55,18:33,35,81,-10.9,479,48.4
874,Nikita Zadorov\zadorni01,19,BUF,D,60,663,1026,39.3,1.6,518,769,40.2,0.0,9.1,92.6,101.7,48.2,51.8,17:42,15:43,11,39,-13.5,104,50.0
875,Travis Zajac\zajactr01,29,NJD,C,74,829,930,47.1,1.0,635,701,47.5,2.3,7.5,92.4,99.9,45.9,54.1,19:02,15:09,49,32,-0.8,200,55.0
876,Henrik Zetterberg\zettehe01,34,DET,LW,77,1105,925,54.4,1.4,835,732,53.3,1.5,8.9,90.1,99.0,61.6,38.4,19:07,15:48,37,29,4.3,420,54.0
877,Mika Zibanejad\zibanmi01,21,OTT,C,80,1034,1015,50.5,0.2,757,774,49.4,0.8,8.9,92.2,101.1,55.4,44.6,16:26,13:26,34,27,0.0,293,51.2
878,Marek Zidlicky\zidlima01,37,TOT,D,84,1230,1224,50.1,3.1,925,950,49.3,3.1,7.3,92.8,100.1,56.2,43.8,20:56,18:06,20,44,-6.7,289,45.0
879,Harry Zolnierczyk\zolniha01,27,NYI,LW,2,18,18,50.0,-13.4,12,14,46.2,-15.8,0.0,90.0,90.0,25.0,75.0,11:08,10:23,1,0,-0.3,3,33.3
880,Dainius Zubrus\zubruda01,36,NJD,C,74,668,796,45.6,-1.6,496,622,44.4,-2.4,6.9,92.5,99.4,38.7,61.3,14:40,12:58,19,19,-12.3,107,68.2
881,Mats Zuccarello\zuccama01,27,NYR,LW,78,1123,1011,52.6,4.2,834,757,52.4,3.8,9.9,91.4,101.4,55.6,44.4,17:16,14:54,60,41,10.3,286,53.8
882,Jason Zucker\zuckeja01,23,MIN,LW,51,641,547,54.0,2.6,483,418,53.6,0.8,8.6,87.5,96.1,53.8,46.2,15:04,12:57,21,19,4.4,193,64.2
