Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
321,Jan Hejda\hejdaja01,32,CBJ,D,77,1247,1227,50.4,-1.7,950,917,50.9,-1.7,8.4,90.1,98.5,51.5,48.5,21:07,18:07,21,30,167,47.3
322,Milan Hejduk\hejdumi01,34,COL,RW,71,941,1029,47.8,-1.9,708,767,48.0,-1.0,8.4,89.2,97.6,54.3,45.7,17:55,14:46,38,23,254,66.9
323,Darren Helm\helmda01,24,DET,C,82,884,729,54.8,0.4,688,570,54.7,0.9,8.3,91.5,99.8,49.2,50.8,13:18,10:11,46,20,289,61.2
324,Ales Hemsky\hemskal01,27,EDM,RW,47,601,668,47.4,2.3,438,503,46.5,2.7,11.6,90.3,101.9,53.4,46.6,18:17,14:14,17,32,183,54.6
325,Matt Hendricks\hendrma01,29,WSH,C,77,688,682,50.2,-1.6,488,475,50.7,-0.9,8.0,90.7,98.7,51.9,48.1,11:15,9:46,17,10,185,59.5
326,Jordan Hendry\hendrjo02,26,CHI,D,37,321,349,47.9,-8.0,246,256,49.0,-7.0,5.5,93.2,98.7,54.9,45.1,10:42,10:28,7,4,64,54.7
327,Adam Henrique\henriad01,20,NJD,C,1,8,8,50.0,-7.6,7,4,63.6,9.1,20.0,100.0,120.0,50.0,50.0,13:21,12:36,0,0,3,100.0
328,T.J. Hensick\hensitj01,25,STL,C,13,111,101,52.4,1.2,89,73,54.9,4.1,9.2,78.4,87.7,72.4,27.6,9:05,8:45,2,0,22,54.5
329,Chris Higgins\higgich01,27,TOT,C,62,867,713,54.9,3.1,640,523,55.0,4.0,7.3,92.0,99.3,46.0,54.0,16:18,13:05,40,12,257,62.3
330,Jack Hillen\hilleja01,25,NYI,D,64,954,1082,46.9,-1.9,703,784,47.3,-1.4,9.4,90.7,100.1,46.4,53.6,18:26,15:50,39,25,172,45.3
331,Niklas Hjalmarsson\hjalmni01,23,CHI,D,80,1117,1078,50.9,-4.5,860,763,53.0,-1.4,8.1,93.1,101.2,49.6,50.4,18:29,16:12,32,55,147,43.5
332,Shane Hnidy\hnidysh01,35,BOS,D,3,38,43,46.9,-4.6,27,36,42.9,-2.0,0.0,93.1,93.1,45.0,55.0,14:47,14:26,0,1,9,33.3
333,Cody Hodgson\hodgsco01,20,VAN,C,8,51,52,49.5,-3.7,39,42,48.1,-4.0,8.0,96.4,104.4,38.2,61.8,7:45,6:58,2,1,17,52.9
334,Nick Holden\holdeni01,23,CBJ,D,5,58,52,52.7,4.6,45,39,53.6,3.2,2.8,97.0,99.7,45.0,55.0,17:11,12:59,0,0,15,40.0
335,Ryan Hollweg\hollwry01,27,PHX,C,3,12,23,34.3,-19.4,9,18,33.3,-19.2,0.0,92.9,92.9,77.8,22.2,6:33,6:29,0,1,0,
336,Ben Holmstrom\holmsbe01,23,PHI,C,2,9,12,42.9,-14.5,7,10,41.2,-16.2,0.0,87.5,87.5,60.0,40.0,9:05,6:22,1,0,1,0.0
337,Tomas Holmstrom\holmsto01,38,DET,LW,73,896,687,56.6,1.9,683,536,56.0,2.4,6.9,91.5,98.5,53.5,46.5,14:48,11:42,18,26,200,62.5
338,Jonas Holos\holosjo01,23,COL,D,39,487,525,48.1,-1.0,377,422,47.2,-1.8,8.0,92.2,100.2,47.0,53.0,18:03,14:53,9,17,85,42.4
339,Korbinian Holzer\holzeko01,22,TOR,D,2,24,22,52.2,11.1,17,16,51.5,8.4,0.0,91.7,91.7,70.0,30.0,13:01,11:58,1,2,3,33.3
340,Shawn Horcoff\horcosh01,32,EDM,C,47,619,666,48.2,2.8,441,503,46.7,1.9,8.4,92.3,100.7,50.3,49.7,18:41,14:24,29,24,141,55.3
341,Darcy Hordichuk\hordida01,30,FLA,LW,64,276,283,49.4,-1.0,202,206,49.5,-0.3,6.3,92.9,99.2,54.0,46.0,5:04,5:04,5,6,60,53.3
342,Patric Hornqvist\hornqpa01,24,NSH,RW,79,976,864,53.0,4.8,746,665,52.9,5.6,8.5,92.5,101.0,55.6,44.4,15:44,12:57,40,21,391,67.8
343,Nathan Horton\hortona01,25,BOS,C,80,1219,1001,54.9,3.8,902,769,54.0,3.0,10.6,93.1,103.7,52.6,47.4,16:17,13:51,26,25,334,56.3
344,Marian Hossa\hossama01,32,CHI,RW,65,960,865,52.6,-1.5,732,642,53.3,-0.8,7.8,92.5,100.3,53.3,46.7,19:42,15:13,53,32,317,64.4
345,Jiri Hudler\hudleji01,27,DET,C,73,826,729,53.1,-2.3,643,576,52.7,-1.9,7.6,90.9,98.5,57.2,42.8,13:40,11:25,30,32,185,56.8
346,Trent Hunter\huntetr01,30,NYI,RW,17,194,196,49.7,0.0,134,145,48.0,0.0,5.7,92.2,97.8,47.4,52.6,12:40,11:16,3,2,68,44.1
347,Matt Hunwick\hunwima01,25,TOT,D,73,943,1098,46.2,-4.9,703,843,45.5,-5.5,6.9,92.2,99.2,48.6,51.4,18:31,14:59,26,36,189,52.9
348,Kristian Huselius\huselkr01,32,CBJ,LW,39,533,437,54.9,3.0,397,339,53.9,2.3,6.0,88.1,94.2,63.2,36.8,16:23,13:38,19,11,176,53.4
349,Kent Huskins\huskike01,31,SJS,D,50,714,586,54.9,2.9,532,445,54.5,2.3,6.8,94.1,100.9,50.3,49.7,16:37,15:04,10,21,94,40.4
350,Andrew Hutchinson\hutchan01,30,PIT,D,5,46,52,46.9,-11.1,37,34,52.1,-3.6,0.0,90.0,90.0,45.8,54.2,15:18,12:49,0,1,10,20.0
351,Jarome Iginla\iginlja01,33,CGY,RW,82,1309,1243,51.3,-0.6,978,908,51.9,-0.3,10.3,89.5,99.9,53.2,46.8,20:56,16:43,40,70,516,55.6
352,Raitis Ivanans\ivanara01,32,CGY,LW,1,11,7,61.1,,7,6,53.8,,0.0,75.0,75.0,50.0,50.0,8:20,8:20,1,0,1,0.0
353,Barret Jackman\jackmba01,29,STL,D,60,980,953,50.7,-3.0,731,699,51.1,-2.5,9.3,90.4,99.6,42.9,57.1,20:48,17:57,28,24,151,43.0
354,Tim Jackman\jackmti01,29,CGY,RW,82,750,549,57.7,8.0,556,381,59.3,9.5,6.6,92.6,99.2,58.0,42.0,9:49,8:53,23,12,225,58.2
355,Jean-Francois Jacques\jacquje01,25,EDM,LW,51,259,347,42.7,-4.1,188,236,44.3,-0.5,5.1,92.9,98.0,47.6,52.4,7:04,6:58,6,11,49,57.1
356,Doug Janik\janikdo01,30,DET,D,7,84,67,55.6,2.2,58,49,54.2,2.0,9.3,83.3,92.6,44.4,55.6,13:13,12:25,0,5,16,50.0
357,Cam Janssen\janssca01,26,STL,RW,54,186,237,44.0,-8.0,140,167,45.6,-6.3,5.8,90.0,95.8,74.4,25.6,4:53,4:52,3,2,28,57.1
358,Dustin Jeffrey\jeffrdu01,22,PIT,C,25,260,212,55.1,4.0,196,153,56.2,4.5,9.5,92.0,101.6,54.2,45.8,12:58,10:41,9,8,70,55.7
359,Hugh Jessiman\jessihu01,26,FLA,RW,2,18,8,69.2,9.9,16,6,72.7,14.4,0.0,75.0,75.0,20.0,80.0,7:21,7:21,0,0,4,50.0
360,Jesse Joensuu\joensje01,23,NYI,RW,42,383,512,42.8,-5.9,273,357,43.3,-6.0,8.0,92.4,100.4,44.9,55.1,11:21,11:13,11,10,74,55.4
361,Marcus Johansson\johanma03,20,WSH,C,69,789,869,47.6,-4.5,562,643,46.6,-5.4,9.3,92.5,101.8,58.4,41.6,14:43,12:34,47,29,177,57.6
362,Erik Johnson\johnser01,22,TOT,D,77,1255,1228,50.5,-0.9,951,932,50.5,-0.9,7.5,90.7,98.1,53.7,46.3,22:49,17:39,28,43,315,51.1
363,Jack Johnson\johnsja02,24,LAK,D,82,1371,1430,48.9,-5.0,1026,1090,48.5,-4.4,7.3,91.3,98.6,52.0,48.0,23:12,18:20,16,59,385,39.7
364,Nick Johnson\johnsni01,25,PIT,RW,4,57,42,57.6,12.8,42,27,60.9,21.7,12.9,90.5,103.4,47.4,52.6,16:44,11:57,1,1,14,71.4
365,Ryan Johnson\johnsry01,34,CHI,C,34,255,271,48.5,-7.0,196,185,51.4,-5.3,7.7,90.5,98.2,32.5,67.5,10:21,8:54,6,5,36,69.4
366,Jussi Jokinen\jokinju01,27,CAR,LW,70,911,899,50.3,0.1,649,673,49.1,0.1,10.3,91.5,101.8,49.5,50.5,16:55,12:37,37,38,221,61.5
367,Olli Jokinen\jokinol01,32,CGY,C,79,1046,1047,50.0,-3.2,774,773,50.0,-3.8,7.6,89.8,97.4,52.6,47.4,17:47,14:22,54,45,368,56.5
368,Blair Jones\jonesbl01,24,TBL,C,18,124,102,54.9,2.9,85,75,53.1,-0.3,6.0,90.2,96.1,66.7,33.3,8:01,7:60,5,5,32,62.5
369,David Jones\jonesda01,26,COL,RW,77,930,1078,46.3,-4.1,691,823,45.6,-4.3,9.6,91.6,101.2,51.7,48.3,17:41,13:48,24,28,267,57.3
370,Randy Jones\jonesra01,29,TBL,D,61,892,766,53.8,1.2,679,546,55.4,1.7,7.3,89.8,97.1,48.5,51.5,17:03,13:58,20,35,129,40.3
371,Ryan Jones\jonesry01,26,EDM,LW,81,642,880,42.2,-4.6,452,634,41.6,-3.4,7.9,92.7,100.6,49.0,51.0,13:50,10:50,38,33,229,55.0
372,Jacob Josefson\josefja01,19,NJD,C,28,236,233,50.3,-5.4,184,172,51.7,-4.4,7.7,95.1,102.8,58.0,42.0,13:14,11:28,8,7,55,54.5
373,Derek Joslin\joslide01,23,TOT,D,34,416,423,49.6,-0.8,289,326,47.0,-2.0,9.4,94.0,103.4,49.8,50.2,15:16,12:60,7,17,77,44.2
374,Ed Jovanovski\jovaned01,34,PHX,D,50,767,808,48.7,-3.9,558,640,46.6,-4.6,8.1,92.8,100.8,43.1,56.9,20:29,16:29,9,37,152,48.0
375,Milan Jurcina\jurcimi01,27,NYI,D,46,568,778,42.2,-6.7,405,556,42.1,-7.4,11.0,90.8,101.7,45.1,54.9,18:04,14:34,25,22,139,54.7
376,Tomas Kaberle\kaberto01,32,TOT,D,82,1412,1451,49.3,-1.7,989,1068,48.1,-2.4,8.6,93.0,101.5,52.1,47.9,22:07,17:44,29,70,297,43.8
377,Nazem Kadri\kadrina01,20,TOR,C,29,368,384,48.9,4.4,262,276,48.7,3.7,5.8,94.2,100.1,52.8,47.2,15:47,13:10,15,26,94,54.3
