08Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
646,Mike Rupp\ruppmi01,28,NJD,C,64,3,6,9,-8,58,0.2,2,1,0,0,5,1,0,69,4.3,516,8:04,7,104,75,80,48.4
647,Kris Russell\russekr01,20,CBJ,D,67,2,8,10,-12,14,1.6,1,1,0,1,5,3,0,90,2.2,991,14:47,64,31,0,0,
648,Jarkko Ruutu\ruutuja01,32,PIT,LW,71,6,10,16,3,138,1.1,5,0,1,1,10,0,0,55,10.9,725,10:12,19,134,4,6,40.0
649,Tuomo Ruutu\ruututu01,24,TOT,LW,77,10,22,32,4,91,2.4,6,4,0,1,22,0,0,100,10.0,1224,15:54,19,171,28,38,42.4
649,Tuomo Ruutu\ruututu01,24,CHI,LW,60,6,15,21,3,75,1.3,5,1,0,1,15,0,0,71,8.5,935,15:35,15,133,26,23,53.1
649,Tuomo Ruutu\ruututu01,24,CAR,LW,17,4,7,11,1,16,1.1,1,3,0,0,7,0,0,29,13.8,289,17:01,4,38,2,15,11.8
650,Stefan Ruzicka\ruzicst01,22,PHI,RW,14,1,3,4,5,27,0.5,1,0,0,0,2,1,0,10,10.0,121,8:40,3,9,0,5,0.0
651,Bobby Ryan\ryanbo01,20,ANA,RW,23,5,5,10,-1,6,1.2,2,3,0,0,4,1,0,37,13.5,259,11:16,5,20,1,0,100.0
652,Michael Ryan\ryanmi01,27,BUF,C,46,4,4,8,-4,30,0.2,4,0,0,0,4,0,0,60,6.7,455,9:53,14,27,0,2,0.0
653,Michael Ryder\rydermi01,27,MTL,RW,70,14,17,31,-4,30,3.0,13,1,0,2,5,12,0,134,10.4,927,13:15,15,122,5,13,27.8
654,Rick Rypien\rypieri01,23,VAN,C,22,1,2,3,-5,41,-0.1,1,0,0,0,1,0,1,8,12.5,178,8:07,10,28,44,62,41.5
655,Joe Sakic*\sakicjo01,38,COL,C,44,13,27,40,-4,20,3.9,8,5,0,1,13,14,0,124,10.5,879,19:59,21,11,296,290,50.5
656,Ruslan Salei\saleiru01,33,TOT,D,82,6,24,30,-4,98,5.4,5,1,0,1,16,7,1,111,5.4,1841,22:27,135,162,0,1,0.0
656,Ruslan Salei\saleiru01,33,FLA,D,65,3,20,23,-5,75,3.9,2,1,0,0,12,7,1,81,3.7,1513,23:17,114,122,0,1,0.0
656,Ruslan Salei\saleiru01,33,COL,D,17,3,4,7,1,23,1.5,3,0,0,1,4,0,0,30,10.0,328,19:17,21,40,0,0,
657,Sami Salo\salosa01,33,VAN,D,63,8,17,25,8,38,6.1,2,6,0,1,5,11,1,122,6.6,1490,23:39,79,36,0,0,
658,Bryce Salvador\salvabr01,31,TOT,D,64,1,10,11,12,54,3.8,1,0,0,1,9,0,1,29,3.4,1267,19:48,104,75,0,1,0.0
658,Bryce Salvador\salvabr01,31,STL,D,56,1,10,11,12,43,3.6,1,0,0,1,9,0,1,29,3.4,1100,19:38,91,61,0,1,0.0
