16Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,TOI,ATOI,BLK,HIT,FOW,FOL
73,Dan Boyle\boyleda01,39,NYR,D,74,10,14,24,0,30,4.5,7,3,0,0,7,7,0,95,1392,18:49,105,66,0,0
74,Tyler Bozak\bozakty01,29,TOR,C,57,12,23,35,-9,18,3.2,9,3,0,1,16,7,0,99,988,17:20,24,46,597,462
75,Derick Brassard\brassde01,28,NYR,C,80,27,31,58,12,30,7.5,19,8,0,5,17,14,0,182,1431,17:53,23,103,676,670
76,Justin Braun\braunju01,28,SJS,D,80,4,19,23,11,36,5.4,4,0,0,0,18,1,0,114,1645,20:34,140,95,0,0
77,T.J. Brennan\brenntj01,26,TOR,D,7,1,0,1,-6,6,-0.2,1,0,0,0,0,0,0,11,106,15:06,5,7,0,0
78,Connor Brickley\brickco01,23,FLA,C,23,1,4,5,1,14,0.4,1,0,0,1,4,0,0,13,201,8:44,6,46,0,0
79,T.J. Brodie\broditj01,25,CGY,D,70,6,39,45,4,18,6.9,4,2,0,1,30,7,2,79,1768,25:15:00,104,15,0,0
80,Jonas Brodin\brodijo01,22,MIN,D,68,2,5,7,-4,18,2.1,2,0,0,0,5,0,0,58,1389,20:25,110,34,0,0
81,Kyle Brodziak\brodzky01,31,STL,C,76,7,4,11,-1,37,0.7,4,0,3,4,4,0,0,49,821,10:48,37,50,275,281
82,Troy Brouwer\brouwtr01,30,STL,RW,82,18,21,39,2,62,4.3,11,7,0,4,18,3,0,142,1394,17:00,52,200,65,49
83,Chris Brown\brownch01,24,WSH,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,7:41,0,2,0,0
84,Connor Brown\brownco02,22,TOR,RW,7,1,5,6,-2,0,0.5,0,1,0,0,1,3,1,11,105,14:58,2,1,0,0
85,Dustin Brown\browndu01,31,LAK,RW,82,11,17,28,-5,30,1.9,9,2,0,0,15,1,1,218,1326,16:10,20,234,8,9
86,J.T. Brown\brownjt01,25,TBL,RW,78,8,14,22,16,59,2.4,8,0,0,0,12,0,2,140,1042,13:22,40,103,23,27
87,Mike Brown\brownmi02,30,TOT,RW,58,2,3,5,-5,90,-0.2,2,0,0,0,3,0,0,51,453,7:48,25,176,3,1
87,Mike Brown\brownmi02,30,SJS,RW,44,1,2,3,-3,63,-0.2,1,0,0,0,2,0,0,37,318,7:13,17,120,2,1
87,Mike Brown\brownmi02,30,MTL,RW,14,1,1,2,-2,27,0,1,0,0,0,1,0,0,14,135,9:39,8,56,1,0
88,Patrick Brown\brownpa02,23,CAR,C,7,1,1,2,4,4,0.4,1,0,0,0,1,0,0,8,88,12:36,6,11,0,0
89,Brett Bulmer\bulmebr01,23,MIN,RW,3,0,0,0,-1,7,-0.1,0,0,0,0,0,0,0,2,20,6:43,0,2,0,0
90,Andre Burakovsky\burakan01,20,WSH,LW,79,17,21,38,4,12,4.6,17,0,0,1,17,4,0,126,1029,13:01,24,37,17,20
91,Alexander Burmistrov\burmial01,24,WPG,C,81,7,14,21,-11,32,0.4,7,0,0,2,12,1,1,102,1310,16:10,35,125,205,307
92,Brent Burns\burnsbr01,30,SJS,D,82,27,48,75,-5,53,12.9,19,7,1,4,24,23,1,353,2121,25:52:00,145,101,1,0
93,Alexandre Burrows\burroal01,34,VAN,RW,79,9,13,22,-13,49,1.1,7,2,0,0,9,4,0,135,1198,15:10,33,81,10,12
94,Chris Butler\butlech01,29,STL,D,5,0,0,0,-1,4,0,0,0,0,0,0,0,0,4,58,11:30,8,3,0,0
95,Dustin Byfuglien\byfugdu01,30,WPG,D,81,19,34,53,4,119,9.7,15,3,1,6,19,14,1,247,2041,25:12:00,105,222,0,0
96,Paul Byron\byronpa01,26,MTL,C,62,11,7,18,-9,11,1.4,8,0,3,2,5,0,2,50,853,13:46,25,112,3,2
97,Ryan Callahan\callary01,30,TBL,RW,73,10,18,28,-5,45,2.1,8,2,0,1,16,2,0,156,1258,17:14,71,164,21,15
98,Matt Calvert\calvema01,26,CBJ,LW,73,11,13,24,1,51,2.1,10,1,0,1,13,0,0,114,1104,15:08,46,91,7,7
99,Mike Cammalleri\cammami01,33,NJD,LW,42,14,24,38,15,18,5.6,11,3,0,1,17,7,0,101,810,19:17,13,15,7,7
100,Andrew Campbell\campban01,27,TOR,D,6,0,1,1,0,2,0.2,0,0,0,0,1,0,0,1,70,11:35,10,5,0,0
101,Brian Campbell\campbbr02,36,FLA,D,82,6,25,31,31,26,7.8,5,0,1,1,17,8,0,99,1827,22:17,80,27,0,0
102,Gregory Campbell\campbgr01,32,CBJ,C,82,3,8,11,-6,78,-0.2,3,0,0,2,8,0,0,58,866,10:34,56,100,229,253
103,Paul Carey\careypa01,27,WSH,C,4,1,0,1,0,0,0.2,1,0,0,0,0,0,0,5,40,9:58,1,6,0,0
104,Matt Carle\carlema01,31,TBL,D,64,2,7,9,4,26,2.6,2,0,0,1,7,0,0,54,1074,16:47,91,30,0,0
105,John Carlson\carlsjo01,26,WSH,D,56,8,31,39,16,14,7.7,6,2,0,4,18,12,1,124,1327,23:42,114,46,0,0
106,Jordan Caron\caronjo01,25,STL,RW,4,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,33,8:08,0,6,0,0
107,Ryan Carpenter\carpery01,25,SJS,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7:27,0,1,0,2
108,Daniel Carr\carrda01,24,MTL,LW,23,6,3,9,0,8,1.2,5,1,0,1,3,0,0,39,278,12:04,5,25,0,0
109,Connor Carrick\carrico01,21,TOT,D,19,2,2,4,-5,15,0.5,2,0,0,1,1,1,0,21,295,15:32,19,38,0,0
109,Connor Carrick\carrico01,21,TOR,D,16,2,2,4,-3,15,0.7,2,0,0,1,1,1,0,19,265,16:33,16,33,0,0
109,Connor Carrick\carrico01,21,WSH,D,3,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,30,10:07,3,5,0,0
110,Sam Carrick\carrisa01,23,TOR,C,3,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,4,34,11:28,0,4,1,0
111,Trevor Carrick\carritr01,21,CAR,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,3,33,16:40,2,1,0,0
112,Jeff Carter\carteje01,31,LAK,C,77,24,38,62,18,20,8,19,4,1,6,29,8,1,242,1416,18:23,39,89,598,630
113,Ryan Carter\cartery01,32,MIN,LW,60,7,5,12,-3,48,1,6,0,1,0,5,0,0,62,668,11:08,37,87,21,17
114,Daniel Catenacci\catenda01,22,BUF,C,11,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,7,96,8:44,2,22,2,0
115,Cody Ceci\cecico01,22,OTT,D,75,10,16,26,9,18,5.2,10,0,0,2,14,2,0,116,1448,19:18,130,70,0,0
116,Michael Chaput\chapumi01,23,CBJ,C,8,1,1,2,3,5,0.3,1,0,0,0,1,0,0,10,72,9:00,3,13,49,26
117,Zdeno Chara\charazd01,38,BOS,D,80,9,28,37,12,71,7.3,8,1,0,3,17,9,2,158,1928,24:06:00,123,134,0,1
118,Ben Chiarot\chiarbe01,24,WPG,D,70,1,9,10,-9,43,1.1,1,0,0,0,9,0,0,74,1012,14:27,105,130,0,0
119,Alex Chiasson\chiasal01,25,OTT,RW,77,8,6,14,2,45,0.6,5,2,1,1,6,0,0,88,1050,13:38,28,103,3,2
120,Jason Chimera\chimeja01,36,WSH,LW,82,20,20,40,0,22,4.7,14,4,2,3,15,5,0,165,1152,14:03,13,103,8,20
121,Kyle Chipchura\chipcky01,29,ARI,C,70,4,8,12,-10,38,0.2,4,0,0,1,7,1,0,47,716,10:13,13,73,88,80
122,Taylor Chorney\chornta01,28,WSH,D,55,1,5,6,8,21,2,1,0,0,0,5,0,0,28,726,13:11,58,56,0,0
123,Casey Cizikas\cizikca01,24,NYI,C,80,8,21,29,4,31,2.6,7,0,1,4,20,0,2,84,1015,12:41,62,158,469,490
124,Fredrik Claesson\claesfr01,23,OTT,D,16,0,2,2,-6,2,-0.2,0,0,0,0,2,0,0,15,309,19:17,30,33,0,0
125,David Clarkson\clarkda03,31,CBJ,RW,23,2,2,4,-8,23,0,2,0,0,1,2,0,0,24,212,9:13,6,45,2,10
126,Adam Clendening\clendad01,23,TOT,D,29,1,6,7,6,20,1.8,1,0,0,0,6,0,0,43,429,14:48,34,19,0,0
126,Adam Clendening\clendad01,23,EDM,D,20,1,5,6,3,10,1.4,1,0,0,0,5,0,0,32,311,15:33,30,15,0,0
126,Adam Clendening\clendad01,23,PIT,D,9,0,1,1,3,10,0.4,0,0,0,0,1,0,0,11,118,13:08,4,4,0,0
127,Kyle Clifford\cliffky01,25,LAK,LW,56,3,6,9,-1,55,0.4,3,0,0,0,6,0,0,68,524,9:21,11,111,3,4
128,Rich Clune\cluneri01,28,TOR,LW,19,0,4,4,1,22,0.2,0,0,0,0,4,0,0,10,154,8:06,5,58,0,0
129,Cal Clutterbuck\cluttca01,28,NYI,RW,77,15,8,23,7,22,3.1,13,0,2,5,7,0,1,80,918,11:55,34,288,1,2
130,Braydon Coburn\coburbr01,30,TBL,D,80,1,9,10,12,53,3.6,1,0,0,0,8,0,1,92,1340,16:45,88,111,0,0
131,Andrew Cogliano\coglian01,28,ANA,LW,82,9,23,32,2,28,3,7,0,2,3,22,0,1,131,1183,14:26,27,124,6,11
132,Carlo Colaiacovo\colaica01,33,BUF,D,36,1,4,5,-11,10,0.4,1,0,0,0,3,1,0,29,521,14:28,41,36,0,0
133,Joe Colborne\colbojo01,26,CGY,C,73,19,25,44,-9,27,4.6,16,3,0,2,23,2,0,100,1107,15:10,28,122,85,70
134,Ian Cole\coleia01,26,PIT,D,70,0,12,12,-3,59,1.8,0,0,0,0,11,1,0,72,1207,17:14,122,122,0,0
135,Sean Collins\collise02,27,WSH,C,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,0,17,8:32,2,0,0,0
136,Blake Comeau\comeabl01,29,COL,LW,81,12,24,36,-9,58,2.6,8,2,2,3,18,6,0,142,1428,17:38,35,173,276,290
137,Erik Condra\condrer01,29,TBL,RW,54,6,5,11,-4,34,0.8,6,0,0,0,5,0,0,58,578,10:42,16,20,1,2
138,Kevin Connauton\connake01,25,TOT,D,65,5,12,17,7,60,3.9,5,0,0,0,9,3,0,109,1088,16:44,58,100,0,0
138,Kevin Connauton\connake01,25,ARI,D,38,4,5,9,-3,39,1.7,4,0,0,0,4,1,0,65,667,17:33,43,76,0,0
138,Kevin Connauton\connake01,25,CBJ,D,27,1,7,8,10,21,2.2,1,0,0,0,5,2,0,44,421,15:35,15,24,0,0
139,Brett Connolly\connobr01,23,BOS,RW,71,9,16,25,-1,20,2.2,7,2,0,2,13,3,0,95,920,12:58,36,137,14,17
140,Andrew Copp\coppan01,21,WPG,C,77,7,6,13,8,6,1.5,7,0,0,0,6,0,0,54,616,8:00,18,87,224,262
141,Patrice Cormier\cormipa01,25,WPG,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4:30,0,1,3,6
142,Frank Corrado\corrafr01,22,TOR,D,39,1,5,6,-12,26,0.4,1,0,0,0,4,1,0,46,564,14:27,37,46,0,0
143,Nick Cousins\cousini01,22,PHI,C,36,6,5,11,5,4,1.5,6,0,0,1,3,2,0,41,386,10:44,17,38,109,128
144,Logan Couture\coutulo01,26,SJS,C,52,15,21,36,2,20,4.3,10,5,0,4,11,10,0,137,904,17:23,38,29,271,305
145,Sean Couturier\coutuse01,23,PHI,C,63,11,28,39,8,30,4,9,2,0,1,22,5,1,119,1172,18:36,30,31,537,568
146,Jared Cowen\cowenja01,25,OTT,D,37,0,4,4,7,16,1.2,0,0,0,0,4,0,0,23,628,16:59,58,116,0,0
147,Charlie Coyle\coylech01,23,MIN,C,82,21,21,42,1,16,4.9,19,2,0,4,16,4,1,140,1419,17:18,60,130,228,274
148,Adam Cracknell\crackad01,30,TOT,RW,52,5,5,10,-1,20,0.7,5,0,0,1,5,0,0,68,636,12:14,25,124,156,239
148,Adam Cracknell\crackad01,30,VAN,RW,44,5,5,10,1,14,0.9,5,0,0,1,5,0,0,55,546,12:24,22,94,152,230
148,Adam Cracknell\crackad01,30,EDM,RW,8,0,0,0,-2,6,-0.2,0,0,0,0,0,0,0,13,90,11:18,3,30,4,9
149,Sidney Crosby\crosbsi01,28,PIT,C,80,36,49,85,19,42,11.5,26,10,0,9,35,14,0,248,1638,20:28,35,90,986,921
150,Tommy Cross\crossto01,26,BOS,D,3,0,1,1,-1,0,0,0,0,0,0,0,0,1,0,39,13:05,1,3,0,0
151,Matt Cullen\cullema01,39,PIT,C,82,16,16,32,5,20,3.6,13,0,3,4,13,0,3,118,1138,13:53,41,40,582,462
152,Craig Cunningham\cunnicr01,25,ARI,RW,10,0,1,1,-1,2,-0.1,0,0,0,0,1,0,0,13,101,10:05,4,15,2,1
153,Klas Dahlbeck\dahlbkl01,24,ARI,D,71,2,6,8,-5,28,1.5,2,0,0,0,5,0,1,64,1117,15:44,76,178,0,0
154,Trevor Daley\daleytr01,32,TOT,D,82,6,22,28,9,34,5.6,5,1,0,0,14,8,0,130,1512,18:26,79,42,0,1
154,Trevor Daley\daleytr01,32,PIT,D,53,6,16,22,8,26,4.5,5,1,0,0,10,6,0,87,1084,20:27,60,23,0,0
154,Trevor Daley\daleytr01,32,CHI,D,29,0,6,6,1,8,1.1,0,0,0,0,4,2,0,43,428,14:46,19,19,0,1
155,Zac Dalpe\dalpeza01,26,MIN,C,2,1,0,1,0,0,0.2,1,0,0,0,0,0,0,3,21,10:15,0,3,11,6
156,Phillip Danault\danauph01,22,TOT,C,51,4,6,10,-5,14,0.3,4,0,0,1,6,0,0,72,651,12:45,28,45,247,272
156,Phillip Danault\danauph01,22,CHI,C,30,1,4,5,-3,6,-0.1,1,0,0,1,4,0,0,48,385,12:51,17,33,163,206
156,Phillip Danault\danauph01,22,MTL,C,21,3,2,5,-2,8,0.4,3,0,0,0,2,0,0,24,265,12:38,11,12,84,66
157,Marko Dano\danoma01,21,TOT,C,34,5,5,10,-7,10,0.7,5,0,0,0,4,1,0,54,417,12:15,15,62,2,4
157,Marko Dano\danoma01,21,WPG,C,21,4,4,8,-7,8,0.6,4,0,0,0,3,1,0,39,291,13:50,8,47,1,1
157,Marko Dano\danoma01,21,CHI,C,13,1,1,2,0,2,0.1,1,0,0,0,1,0,0,15,126,9:41,7,15,1,3
158,Pavel Datsyuk\datsypa01,37,DET,C,66,16,33,49,7,14,5.6,8,8,0,1,21,12,0,181,1297,19:39,33,70,599,517
159,Laurent Dauphin\dauphla01,20,ARI,C,8,1,0,1,0,4,0.1,1,0,0,0,0,0,0,7,91,11:19,7,6,32,41
160,Brandon Davidson\davidbr01,24,EDM,D,51,4,7,11,7,20,3.4,2,2,0,0,6,0,1,63,979,19:12,92,74,0,0
161,Calvin de Haan\dehaaca01,24,NYI,D,72,2,14,16,3,20,3.6,2,0,0,0,13,1,0,102,1486,20:38,198,128,0,1
