Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,TOI,ATOI,BLK,HIT,FOW,FOL
Josh Bailey\bailejo01,26,NYI,RW,81,12,20,32,-7,22,2.5,8,4,0,2,19,1,0,105,1284,15:51,25,45,14,20
Justin Bailey\baileju01,20,BUF,RW,8,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,22,93,11:36,6,8,0,0
Mark Barberio\barbema01,25,MTL,D,30,2,8,10,0,6,1.7,2,0,0,0,8,0,0,32,450,15:00,18,12,0,0
Aleksander Barkov\barkoal01,20,FLA,C,66,28,31,59,18,8,8.4,18,9,1,8,23,7,1,171,1282,19:26,39,43,569,587
Tyson Barrie\barrity01,24,COL,D,78,13,36,49,-16,31,7.2,9,3,1,5,17,18,1,172,1810,23:12,84,37,0,0
Matt Bartkowski\bartkma01,27,VAN,D,80,6,12,18,-19,50,2.9,6,0,0,0,12,0,0,85,1490,18:37,42,141,0,0
Victor Bartley\bartlvi01,27,TOT,D,10,0,0,0,2,6,0.3,0,0,0,0,0,0,0,8,133,13:19,17,21,0,0
Cody Bass\bassco01,29,NSH,C,17,0,0,0,-1,17,-0.3,0,0,0,0,0,0,0,11,130,7:40,8,26,12,9
Kyle Baun\baunky01,23,CHI,RW,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,18,9:03,0,3,0,0
Jay Beagle\beaglja01,30,WSH,RW,57,8,9,17,0,24,1.4,8,0,0,1,9,0,0,74,799,14:01,24,55,370,267
Francois Beauchemin\beaucfr01,35,COL,D,82,8,26,34,-7,38,6,6,2,0,2,15,9,2,127,2057,25:05:00,256,78,0,0
Nathan Beaulieu\beaulna01,23,MTL,D,64,2,17,19,-6,55,2.8,1,1,0,0,15,2,0,74,1117,17:27,89,59,0,0
Taylor Beck\beckta01,24,NYI,LW,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,8:29,0,6,0,0
Matt Beleskey\belesma01,27,BOS,LW,80,15,22,37,6,65,3.9,12,3,0,1,18,4,0,168,1269,15:51,44,260,6,19
Pierre-Edouard Bellemare\bellepi01,30,PHI,LW,74,7,7,14,-8,27,0.4,6,0,1,1,6,0,1,102,1004,13:34,61,65,272,307
Jamie Benn\bennja01,26,DAL,LW,82,41,48,89,7,64,12.1,22,17,2,5,32,13,3,247,1642,20:01,55,156,226,252
Jordie Benn\bennjo01,28,DAL,D,64,3,9,12,2,21,2.2,2,1,0,2,8,0,1,58,1001,15:39,94,90,0,0
Beau Bennett\bennebe01,24,PIT,RW,33,6,6,12,-1,10,1.3,5,1,0,0,4,2,0,52,393,11:54,6,65,2,4
Sam Bennett\bennesa01,19,CGY,C,77,18,18,36,-11,37,3.4,15,3,0,2,13,5,0,136,1166,15:09,32,110,160,187
Andre Benoit\benoian01,32,STL,D,2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,27,13:35,5,1,0,0
Patrice Bergeron\bergepa01,30,BOS,C,80,32,36,68,12,49,9,19,12,1,6,21,13,2,282,1587,19:50,56,77,1130,848
Patrik Berglund\berglpa01,27,STL,C,42,10,5,15,1,16,1.8,6,4,0,5,5,0,0,80,651,15:29,17,48,139,138
Steve Bernier\bernist01,30,NYI,RW,24,1,5,6,3,9,0.5,1,0,0,0,5,0,0,27,269,11:14,13,42,0,0
Christoph Bertschy\bertsch02,21,MIN,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,6:57,2,7,0,0
Bryan Bickell\bickebr01,29,CHI,LW,25,0,2,2,-5,2,-0.4,0,0,0,0,2,0,0,21,245,9:47,10,58,2,0
Alex Biega\biegaal01,27,VAN,D,51,0,7,7,-11,22,0.9,0,0,0,0,7,0,0,61,855,16:46,41,124,0,0
Kevin Bieksa\biekske01,34,ANA,D,71,4,11,15,-7,99,3.6,2,2,0,1,7,4,0,109,1492,21:01,108,152,0,0
Chris Bigras\bigrach01,20,COL,D,31,1,2,3,-2,16,0.7,1,0,0,0,2,0,0,21,414,13:21,17,17,0,0
Anthony Bitetto\bitetan01,25,NSH,D,28,1,5,6,0,19,1.1,1,0,0,0,5,0,0,19,340,12:08,41,62,0,0
Oliver Bjorkstrand\bjorkol01,20,CBJ,RW,12,4,4,8,6,0,1.3,4,0,0,1,4,0,0,25,192,15:59,5,9,0,0
Nick Bjugstad\bjugsni01,23,FLA,C,67,15,19,34,-8,41,3.4,9,6,0,3,10,9,0,171,1039,15:31,28,87,449,419
Joseph Blandisi\blandjo01,21,NJD,LW,41,5,12,17,-14,34,1.1,1,4,0,1,10,2,0,43,640,15:36,13,39,11,22
Mike Blunden\blundmi01,29,TBL,RW,20,3,2,5,3,34,0.8,3,0,0,1,2,0,0,14,173,8:39,3,41,0,0
Andrew Bodnarchuk\bodnaan01,27,TOT,D,37,0,4,4,-7,14,0.2,0,0,0,0,4,0,0,9,457,12:20,27,44,0,0
Mikkel Boedker\boedkmi01,26,TOT,LW,80,17,34,51,-33,12,3.8,14,3,0,5,18,16,0,166,1481,18:30,31,50,1,2
Zach Bogosian\bogosza01,25,BUF,D,64,7,17,24,-11,68,4.5,4,3,0,1,13,3,1,121,1430,22:21,98,86,0,0
Jared Boll\bollja01,29,CBJ,RW,30,1,2,3,-3,61,0,1,0,0,0,2,0,0,11,200,6:39,15,53,2,0
Dave Bolland\bollada01,29,FLA,C,25,1,4,5,-2,16,0,1,0,0,0,1,3,0,26,352,14:06,9,36,156,185
Brandon Bollig\bollibr01,29,CGY,LW,54,2,2,4,-10,103,-0.7,2,0,0,0,2,0,0,56,502,9:17,25,117,2,1
Nick Bonino\boninni01,27,PIT,C,63,9,20,29,13,31,3,6,2,1,0,20,0,0,97,998,15:50,67,22,463,455
Mark Borowiecki\borowma01,26,OTT,D,63,1,1,2,-4,107,0.2,1,0,0,0,1,0,0,27,922,14:38,99,271,0,1
Robert Bortuzzo\borturo01,26,STL,D,40,2,1,3,2,52,1.3,2,0,0,0,1,0,0,47,531,13:16,42,93,0,0
Reid Boucher\bouchre01,22,NJD,LW,39,8,11,19,-13,6,1.8,6,2,0,4,7,4,0,74,557,14:16,14,32,1,2
Eric Boulton\boulter01,39,NYI,LW,6,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,3,57,9:29,0,15,0,0
Lance Bouma\boumala01,25,CGY,C,44,2,5,7,-6,31,-0.2,2,0,0,0,3,0,2,49,530,12:02,42,110,5,8
Gabriel Bourque\bourqga01,25,NSH,RW,22,1,3,4,0,18,0.1,1,0,0,0,3,0,0,25,272,12:22,22,55,0,1
Rene Bourque\bourqre01,34,CBJ,RW,49,3,5,8,-9,38,0,3,0,0,0,5,0,0,77,512,10:27,19,82,3,6
Jay Bouwmeester\bouwmja01,32,STL,D,72,3,16,19,-4,18,3.9,2,1,0,0,15,1,0,105,1664,23:07,110,71,0,0
Johnny Boychuk\boychjo01,32,NYI,D,70,9,16,25,17,31,6.6,8,1,0,1,12,4,0,165,1496,21:22,140,149,0,0
Brad Boyes\boyesbr01,33,TOR,RW,60,8,16,24,-6,12,2.1,6,2,0,1,13,3,0,85,718,11:58,17,20,9,5
Brian Boyle\boylebr01,31,TBL,C,76,13,7,20,-7,57,1.9,9,2,2,4,6,1,0,117,981,12:55,48,115,346,336
Dan Boyle\boyleda01,39,NYR,D,74,10,14,24,0,30,4.5,7,3,0,0,7,7,0,95,1392,18:49,105,66,0,0
Tyler Bozak\bozakty01,29,TOR,C,57,12,23,35,-9,18,3.2,9,3,0,1,16,7,0,99,988,17:20,24,46,597,462
Derick Brassard\brassde01,28,NYR,C,80,27,31,58,12,30,7.5,19,8,0,5,17,14,0,182,1431,17:53,23,103,676,670
Justin Braun\braunju01,28,SJS,D,80,4,19,23,11,36,5.4,4,0,0,0,18,1,0,114,1645,20:34,140,95,0,0
T.J. Brennan\brenntj01,26,TOR,D,7,1,0,1,-6,6,-0.2,1,0,0,0,0,0,0,11,106,15:06,5,7,0,0
Connor Brickley\brickco01,23,FLA,C,23,1,4,5,1,14,0.4,1,0,0,1,4,0,0,13,201,8:44,6,46,0,0
T.J. Brodie\broditj01,25,CGY,D,70,6,39,45,4,18,6.9,4,2,0,1,30,7,2,79,1768,25:15:00,104,15,0,0
Jonas Brodin\brodijo01,22,MIN,D,68,2,5,7,-4,18,2.1,2,0,0,0,5,0,0,58,1389,20:25,110,34,0,0
Kyle Brodziak\brodzky01,31,STL,C,76,7,4,11,-1,37,0.7,4,0,3,4,4,0,0,49,821,10:48,37,50,275,281
Troy Brouwer\brouwtr01,30,STL,RW,82,18,21,39,2,62,4.3,11,7,0,4,18,3,0,142,1394,17:00,52,200,65,49
Chris Brown\brownch01,24,WSH,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,7:41,0,2,0,0
Connor Brown\brownco02,22,TOR,RW,7,1,5,6,-2,0,0.5,0,1,0,0,1,3,1,11,105,14:58,2,1,0,0
Dustin Brown\browndu01,31,LAK,RW,82,11,17,28,-5,30,1.9,9,2,0,0,15,1,1,218,1326,16:10,20,234,8,9
J.T. Brown\brownjt01,25,TBL,RW,78,8,14,22,16,59,2.4,8,0,0,0,12,0,2,140,1042,13:22,40,103,23,27
Mike Brown\brownmi02,30,TOT,RW,58,2,3,5,-5,90,-0.2,2,0,0,0,3,0,0,51,453,7:48,25,176,3,1
Patrick Brown\brownpa02,23,CAR,C,7,1,1,2,4,4,0.4,1,0,0,0,1,0,0,8,88,12:36,6,11,0,0
Brett Bulmer\bulmebr01,23,MIN,RW,3,0,0,0,-1,7,-0.1,0,0,0,0,0,0,0,2,20,6:43,0,2,0,0
Andre Burakovsky\burakan01,20,WSH,LW,79,17,21,38,4,12,4.6,17,0,0,1,17,4,0,126,1029,13:01,24,37,17,20
Alexander Burmistrov\burmial01,24,WPG,C,81,7,14,21,-11,32,0.4,7,0,0,2,12,1,1,102,1310,16:10,35,125,205,307
Brent Burns\burnsbr01,30,SJS,D,82,27,48,75,-5,53,12.9,19,7,1,4,24,23,1,353,2121,25:52:00,145,101,1,0
Alexandre Burrows\burroal01,34,VAN,RW,79,9,13,22,-13,49,1.1,7,2,0,0,9,4,0,135,1198,15:10,33,81,10,12
Chris Butler\butlech01,29,STL,D,5,0,0,0,-1,4,0,0,0,0,0,0,0,0,4,58,11:30,8,3,0,0
Dustin Byfuglien\byfugdu01,30,WPG,D,81,19,34,53,4,119,9.7,15,3,1,6,19,14,1,247,2041,25:12:00,105,222,0,0
Paul Byron\byronpa01,26,MTL,C,62,11,7,18,-9,11,1.4,8,0,3,2,5,0,2,50,853,13:46,25,112,3,2
Ryan Callahan\callary01,30,TBL,RW,73,10,18,28,-5,45,2.1,8,2,0,1,16,2,0,156,1258,17:14,71,164,21,15
Matt Calvert\calvema01,26,CBJ,LW,73,11,13,24,1,51,2.1,10,1,0,1,13,0,0,114,1104,15:08,46,91,7,7
Mike Cammalleri\cammami01,33,NJD,LW,42,14,24,38,15,18,5.6,11,3,0,1,17,7,0,101,810,19:17,13,15,7,7
Andrew Campbell\campban01,27,TOR,D,6,0,1,1,0,2,0.2,0,0,0,0,1,0,0,1,70,11:35,10,5,0,0
Brian Campbell\campbbr02,36,FLA,D,82,6,25,31,31,26,7.8,5,0,1,1,17,8,0,99,1827,22:17,80,27,0,0
Gregory Campbell\campbgr01,32,CBJ,C,82,3,8,11,-6,78,-0.2,3,0,0,2,8,0,0,58,866,10:34,56,100,229,253
Paul Carey\careypa01,27,WSH,C,4,1,0,1,0,0,0.2,1,0,0,0,0,0,0,5,40,9:58,1,6,0,0
Matt Carle\carlema01,31,TBL,D,64,2,7,9,4,26,2.6,2,0,0,1,7,0,0,54,1074,16:47,91,30,0,0
John Carlson\carlsjo01,26,WSH,D,56,8,31,39,16,14,7.7,6,2,0,4,18,12,1,124,1327,23:42,114,46,0,0
Jordan Caron\caronjo01,25,STL,RW,4,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,33,8:08,0,6,0,0
Ryan Carpenter\carpery01,25,SJS,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7:27,0,1,0,2
Daniel Carr\carrda01,24,MTL,LW,23,6,3,9,0,8,1.2,5,1,0,1,3,0,0,39,278,12:04,5,25,0,0
Connor Carrick\carrico01,21,TOT,D,19,2,2,4,-5,15,0.5,2,0,0,1,1,1,0,21,295,15:32,19,38,0,0
Sam Carrick\carrisa01,23,TOR,C,3,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,4,34,11:28,0,4,1,0
Trevor Carrick\carritr01,21,CAR,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,3,33,16:40,2,1,0,0
Jeff Carter\carteje01,31,LAK,C,77,24,38,62,18,20,8,19,4,1,6,29,8,1,242,1416,18:23,39,89,598,630
Ryan Carter\cartery01,32,MIN,LW,60,7,5,12,-3,48,1,6,0,1,0,5,0,0,62,668,11:08,37,87,21,17
Daniel Catenacci\catenda01,22,BUF,C,11,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,7,96,8:44,2,22,2,0
Cody Ceci\cecico01,22,OTT,D,75,10,16,26,9,18,5.2,10,0,0,2,14,2,0,116,1448,19:18,130,70,0,0
Michael Chaput\chapumi01,23,CBJ,C,8,1,1,2,3,5,0.3,1,0,0,0,1,0,0,10,72,9:00,3,13,49,26
Zdeno Chara\charazd01,38,BOS,D,80,9,28,37,12,71,7.3,8,1,0,3,17,9,2,158,1928,24:06:00,123,134,0,1
Ben Chiarot\chiarbe01,24,WPG,D,70,1,9,10,-9,43,1.1,1,0,0,0,9,0,0,74,1012,14:27,105,130,0,0
Alex Chiasson\chiasal01,25,OTT,RW,77,8,6,14,2,45,0.6,5,2,1,1,6,0,0,88,1050,13:38,28,103,3,2
Jason Chimera\chimeja01,36,WSH,LW,82,20,20,40,0,22,4.7,14,4,2,3,15,5,0,165,1152,14:03,13,103,8,20
Kyle Chipchura\chipcky01,29,ARI,C,70,4,8,12,-10,38,0.2,4,0,0,1,7,1,0,47,716,10:13,13,73,88,80
Taylor Chorney\chornta01,28,WSH,D,55,1,5,6,8,21,2,1,0,0,0,5,0,0,28,726,13:11,58,56,0,0
Casey Cizikas\cizikca01,24,NYI,C,80,8,21,29,4,31,2.6,7,0,1,4,20,0,2,84,1015,12:41,62,158,469,490
Fredrik Claesson\claesfr01,23,OTT,D,16,0,2,2,-6,2,-0.2,0,0,0,0,2,0,0,15,309,19:17,30,33,0,0
David Clarkson\clarkda03,31,CBJ,RW,23,2,2,4,-8,23,0,2,0,0,1,2,0,0,24,212,9:13,6,45,2,10
Adam Clendening\clendad01,23,TOT,D,29,1,6,7,6,20,1.8,1,0,0,0,6,0,0,43,429,14:48,34,19,0,0
Kyle Clifford\cliffky01,25,LAK,LW,56,3,6,9,-1,55,0.4,3,0,0,0,6,0,0,68,524,9:21,11,111,3,4
Rich Clune\cluneri01,28,TOR,LW,19,0,4,4,1,22,0.2,0,0,0,0,4,0,0,10,154,8:06,5,58,0,0
Cal Clutterbuck\cluttca01,28,NYI,RW,77,15,8,23,7,22,3.1,13,0,2,5,7,0,1,80,918,11:55,34,288,1,2
Braydon Coburn\coburbr01,30,TBL,D,80,1,9,10,12,53,3.6,1,0,0,0,8,0,1,92,1340,16:45,88,111,0,0
Andrew Cogliano\coglian01,28,ANA,LW,82,9,23,32,2,28,3,7,0,2,3,22,0,1,131,1183,14:26,27,124,6,11
Carlo Colaiacovo\colaica01,33,BUF,D,36,1,4,5,-11,10,0.4,1,0,0,0,3,1,0,29,521,14:28,41,36,0,0
Joe Colborne\colbojo01,26,CGY,C,73,19,25,44,-9,27,4.6,16,3,0,2,23,2,0,100,1107,15:10,28,122,85,70
Ian Cole\coleia01,26,PIT,D,70,0,12,12,-3,59,1.8,0,0,0,0,11,1,0,72,1207,17:14,122,122,0,0
Sean Collins\collise02,27,WSH,C,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,0,17,8:32,2,0,0,0
Blake Comeau\comeabl01,29,COL,LW,81,12,24,36,-9,58,2.6,8,2,2,3,18,6,0,142,1428,17:38,35,173,276,290
Erik Condra\condrer01,29,TBL,RW,54,6,5,11,-4,34,0.8,6,0,0,0,5,0,0,58,578,10:42,16,20,1,2
Kevin Connauton\connake01,25,TOT,D,65,5,12,17,7,60,3.9,5,0,0,0,9,3,0,109,1088,16:44,58,100,0,0
Brett Connolly\connobr01,23,BOS,RW,71,9,16,25,-1,20,2.2,7,2,0,2,13,3,0,95,920,12:58,36,137,14,17
Andrew Copp\coppan01,21,WPG,C,77,7,6,13,8,6,1.5,7,0,0,0,6,0,0,54,616,8:00,18,87,224,262
Patrice Cormier\cormipa01,25,WPG,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4:30,0,1,3,6
Frank Corrado\corrafr01,22,TOR,D,39,1,5,6,-12,26,0.4,1,0,0,0,4,1,0,46,564,14:27,37,46,0,0
Nick Cousins\cousini01,22,PHI,C,36,6,5,11,5,4,1.5,6,0,0,1,3,2,0,41,386,10:44,17,38,109,128
Logan Couture\coutulo01,26,SJS,C,52,15,21,36,2,20,4.3,10,5,0,4,11,10,0,137,904,17:23,38,29,271,305
Sean Couturier\coutuse01,23,PHI,C,63,11,28,39,8,30,4,9,2,0,1,22,5,1,119,1172,18:36,30,31,537,568
Jared Cowen\cowenja01,25,OTT,D,37,0,4,4,7,16,1.2,0,0,0,0,4,0,0,23,628,16:59,58,116,0,0
Charlie Coyle\coylech01,23,MIN,C,82,21,21,42,1,16,4.9,19,2,0,4,16,4,1,140,1419,17:18,60,130,228,274
Adam Cracknell\crackad01,30,TOT,RW,52,5,5,10,-1,20,0.7,5,0,0,1,5,0,0,68,636,12:14,25,124,156,239
Sidney Crosby\crosbsi01,28,PIT,C,80,36,49,85,19,42,11.5,26,10,0,9,35,14,0,248,1638,20:28,35,90,986,921
Tommy Cross\crossto01,26,BOS,D,3,0,1,1,-1,0,0,0,0,0,0,0,0,1,0,39,13:05,1,3,0,0
Matt Cullen\cullema01,39,PIT,C,82,16,16,32,5,20,3.6,13,0,3,4,13,0,3,118,1138,13:53,41,40,582,462
Craig Cunningham\cunnicr01,25,ARI,RW,10,0,1,1,-1,2,-0.1,0,0,0,0,1,0,0,13,101,10:05,4,15,2,1
Klas Dahlbeck\dahlbkl01,24,ARI,D,71,2,6,8,-5,28,1.5,2,0,0,0,5,0,1,64,1117,15:44,76,178,0,0
Trevor Daley\daleytr01,32,TOT,D,82,6,22,28,9,34,5.6,5,1,0,0,14,8,0,130,1512,18:26,79,42,0,1
Zac Dalpe\dalpeza01,26,MIN,C,2,1,0,1,0,0,0.2,1,0,0,0,0,0,0,3,21,10:15,0,3,11,6
Phillip Danault\danauph01,22,TOT,C,51,4,6,10,-5,14,0.3,4,0,0,1,6,0,0,72,651,12:45,28,45,247,272
Marko Dano\danoma01,21,TOT,C,34,5,5,10,-7,10,0.7,5,0,0,0,4,1,0,54,417,12:15,15,62,2,4
Pavel Datsyuk\datsypa01,37,DET,C,66,16,33,49,7,14,5.6,8,8,0,1,21,12,0,181,1297,19:39,33,70,599,517
Laurent Dauphin\dauphla01,20,ARI,C,8,1,0,1,0,4,0.1,1,0,0,0,0,0,0,7,91,11:19,7,6,32,41
Brandon Davidson\davidbr01,24,EDM,D,51,4,7,11,7,20,3.4,2,2,0,0,6,0,1,63,979,19:12,92,74,0,0
Calvin de Haan\dehaaca01,24,NYI,D,72,2,14,16,3,20,3.6,2,0,0,0,13,1,0,102,1486,20:38,198,128,0,1
Jacob de La Rose\delarja01,20,MTL,LW,22,0,1,1,-6,6,-0.6,0,0,0,0,1,0,0,20,274,12:26,19,39,67,63
Chase De Leo\deleoch01,20,WPG,C,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,19,9:25,0,0,1,0
Danny DeKeyser\dekeyda01,25,DET,D,78,8,12,20,2,44,5.2,8,0,0,3,12,0,0,72,1701,21:48,107,88,0,0
Michael Del Zotto\delzomi01,25,PHI,D,52,4,9,13,-8,16,2.3,4,0,0,1,8,1,0,98,1217,23:25,104,140,0,0
Dylan DeMelo\demeldy01,22,SJS,D,45,2,2,4,0,14,1.2,0,2,0,0,0,2,0,42,613,13:37,35,39,0,0
Jason Demers\demerja01,27,DAL,D,62,7,16,23,16,72,5.2,3,3,1,1,14,2,0,94,1294,20:52,73,86,0,0
David Desharnais\deshada01,29,MTL,C,65,11,18,29,-6,20,2.5,8,3,0,4,16,2,0,90,1040,16:00,25,31,391,412
Andrew Desjardins\desjaan01,29,CHI,LW,77,8,5,13,-8,30,0.3,8,0,0,1,5,0,0,96,1030,13:23,49,102,43,44
Nicolas Deslauriers\deslani01,24,BUF,LW,70,6,6,12,-14,59,0.4,6,0,0,1,6,0,0,72,723,10:20,30,206,0,1
Simon Despres\desprsi01,24,ANA,D,32,0,4,4,2,8,1.5,0,0,0,0,3,1,0,32,628,19:38,71,67,0,0
Phillip Di Giuseppe\digiuph01,22,CAR,LW,41,7,10,17,0,18,1.9,7,0,0,1,10,0,0,68,585,14:16,21,113,7,13
Jason Dickinson\dickija01,20,DAL,C,1,1,0,1,1,0,0.2,1,0,0,0,0,0,0,2,12,11:55,1,0,1,6
Darren Dietz\dietzda01,22,MTL,D,13,1,4,5,-1,13,0.8,1,0,0,0,4,0,0,13,189,14:32,14,38,0,0
Brenden Dillon\dillobr01,25,SJS,D,76,2,9,11,8,61,3.3,2,0,0,1,9,0,0,93,1268,16:41,89,154,0,0
Shane Doan\doansh01,39,ARI,RW,72,28,19,47,4,98,6.5,16,12,0,4,14,5,0,170,1267,17:36,15,115,74,69
Max Domi\domima01,20,ARI,LW,81,18,34,52,3,72,5.8,15,3,0,0,21,12,1,156,1326,16:22,25,34,20,35
Joonas Donskoi\donskjo01,23,SJS,RW,76,11,25,36,4,20,3.7,8,3,0,1,20,5,0,107,1076,14:09,46,31,2,1
Derek Dorsett\dorsede01,29,VAN,RW,71,5,11,16,-13,177,0.5,5,0,0,0,10,0,1,91,894,12:35,44,127,3,7
Drew Doughty\doughdr01,26,LAK,D,82,14,37,51,24,52,11.6,4,9,1,3,21,15,1,197,2297,28:01:00,105,125,0,0
Nic Dowd\dowdni01,25,LAK,C,5,0,0,0,1,2,0,0,0,0,0,0,0,0,3,53,10:35,0,6,18,16
Steve Downie\downist01,28,ARI,RW,26,3,3,6,1,53,0.7,3,0,0,0,3,0,0,22,234,9:00,7,29,2,2
Leon Draisaitl\draisle01,20,EDM,C,72,19,32,51,-2,20,5.8,14,5,0,2,28,4,0,133,1300,18:03,18,38,502,536
Jonathan Drouin\drouijo01,20,TBL,LW,21,4,6,10,1,4,1.2,4,0,0,1,4,2,0,25,303,14:27,2,18,9,10
Brandon Dubinsky\dubinbr01,29,CBJ,C,75,17,31,48,-16,71,4.3,12,5,0,3,26,5,0,158,1407,18:46,40,235,780,704
Matt Duchene\duchema01,25,COL,C,76,30,29,59,-8,24,7.2,22,8,0,6,22,7,0,200,1413,18:35,37,41,428,311
Anthony Duclair\duclaan01,20,ARI,LW,81,20,24,44,12,49,5.8,12,8,0,2,20,4,0,105,1164,14:22,27,27,0,1
Mathew Dumba\dumbama01,21,MIN,D,81,10,16,26,1,38,5.6,4,6,0,3,10,6,0,152,1364,16:50,56,83,0,0
Brian Dumoulin\dumoubr01,24,PIT,D,79,0,16,16,11,14,3.7,0,0,0,0,16,0,0,101,1492,18:53,68,77,1,0
Pascal Dupuis\dupuipa01,36,PIT,RW,18,2,2,4,-1,12,0.1,2,0,0,0,2,0,0,28,272,15:06,12,35,2,1
Ryan Dzingel\dzingry01,23,OTT,LW,30,3,6,9,4,11,0.9,3,0,0,0,6,0,0,23,324,10:48,4,54,2,2
David Dziurzynski\dziurda01,26,OTT,LW,14,1,3,4,-4,9,0.1,1,0,0,0,3,0,0,14,141,10:05,7,55,3,4
Cody Eakin\eakinco01,24,DAL,C,82,16,19,35,3,42,3.4,11,2,3,1,16,2,1,132,1342,16:22,47,98,567,621
Patrick Eaves\eavespa01,31,DAL,RW,54,11,6,17,-5,27,1.7,6,5,0,2,4,2,0,86,700,12:58,20,70,3,8
Jordan Eberle\eberljo01,25,EDM,RW,69,25,22,47,-12,14,5.7,18,7,0,4,18,4,0,173,1232,17:51,23,28,5,3
Alexander Edler\edleral01,29,VAN,D,52,6,14,20,-8,46,3.8,3,3,0,0,8,6,0,111,1272,24:27:00,106,84,0,0
Joel Edmundson\edmunjo01,22,STL,D,67,1,8,9,0,63,2.2,1,0,0,0,8,0,0,90,1000,14:56,62,165,0,0
Nikolaj Ehlers\ehlerni01,19,WPG,RW,72,15,23,38,3,21,4.1,11,4,0,0,16,7,0,167,1159,16:06,25,29,0,2
