Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,TOI,ATOI,BLK,HIT,FOW,FOL
Brandon McMillan\mcmilbr01,20,ANA,LW,60,11,10,21,-5,18,1.8,7,2,2,2,7,1,2,77,844,14:04,24,53,114,179
Carson McMillan\mcmilca01,22,MIN,RW,4,1,1,2,1,0,0.3,1,0,0,0,1,0,0,5,37,9:20,1,6,9,14
Adam McQuaid\mcquaad01,24,BOS,D,67,3,12,15,30,96,4.9,3,0,0,0,12,0,0,46,996,14:52,131,102,0,0
Philip McRae\mcraeph01,20,STL,C,15,1,2,3,-10,2,-0.2,1,0,0,0,2,0,0,13,136,9:02,5,8,34,30
Andrej Meszaros\meszaan01,25,PHI,D,81,8,24,32,30,42,7.5,5,3,0,2,21,3,0,144,1711,21:07,139,189,0,0
Marc Methot\methoma01,25,CBJ,D,74,0,15,15,2,58,3,0,0,0,0,14,0,1,58,1472,19:53,98,176,0,0
Freddy Meyer\meyerfr01,30,ATL,D,15,1,1,2,-7,8,-0.1,1,0,0,0,1,0,0,11,229,15:16,33,29,0,0
Stefan Meyer\meyerst01,25,CGY,LW,16,0,2,2,0,17,0,0,0,0,0,2,0,0,12,124,7:45,10,24,7,10
Milan Michalek\michami01,26,OTT,RW,66,18,15,33,-12,49,3.4,13,1,4,0,12,3,0,167,1192,18:04,41,49,4,9
Zbynek Michalek\michazb01,28,PIT,D,73,5,14,19,0,30,4.4,4,1,0,2,11,3,0,104,1594,21:50,149,56,0,0
Antti Miettinen\miettan01,30,MIN,RW,73,16,19,35,-3,38,3.4,8,8,0,4,13,6,0,168,1243,17:02,14,109,36,64
Brendan Mikkelson\mikkebr01,23,TOT,D,24,0,2,2,-6,9,0,0,0,0,0,2,0,0,14,341,14:14,18,21,0,0
Drew Miller\milledr01,26,DET,LW,67,10,8,18,-2,13,1.4,9,0,1,2,8,0,0,85,787,11:45,58,84,4,13
Brad Mills\millsbr01,27,NJD,C,4,1,0,1,1,5,0.2,1,0,0,0,0,0,0,6,33,8:17,2,7,7,10
John Mitchell\mitchjo01,26,TOR,C,23,2,1,3,-7,12,-0.3,1,1,0,1,1,0,0,28,288,12:31,17,31,83,66
Torrey Mitchell\mitchto01,26,SJS,C,66,9,14,23,10,46,2.3,9,0,0,1,14,0,0,116,881,13:21,27,57,99,104
Willie Mitchell\mitchwi01,33,LAK,D,57,5,5,10,4,21,3.8,4,0,1,1,5,0,0,59,1243,21:49,85,35,0,0
Mike Modano*\modanmi01,40,DET,C,40,4,11,15,-4,8,0.9,3,1,0,0,6,5,0,79,498,12:27,10,7,133,141
Fredrik Modin\modinfr01,36,TOT,LW,40,7,3,10,-14,14,0.5,6,0,1,0,3,0,0,54,464,11:36,22,19,8,12
Travis Moen\moentr01,28,MTL,LW,79,6,10,16,-4,96,0.6,5,0,1,0,10,0,0,99,1042,13:11,42,129,8,14
Oscar Moller\molleos01,22,LAK,C,13,1,3,4,-1,2,0.2,1,0,0,0,3,0,0,27,190,14:36,5,10,4,1
Steve Montador\montast01,31,BUF,D,73,5,21,26,16,83,5.8,5,0,0,0,20,1,0,118,1440,19:43,138,86,0,1
Dominic Moore\mooredo01,30,TBL,C,77,18,14,32,-12,52,2.9,12,6,0,3,13,1,0,175,1201,15:36,42,80,475,417
John Moore\moorejo01,20,CBJ,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11:29,2,1,0,0
Mike Moore\mooremi01,26,SJS,D,6,1,0,1,-1,7,0.2,1,0,0,0,0,0,0,5,61,10:07,2,4,0,0
Ethan Moreau\moreaet01,35,CBJ,LW,37,1,5,6,-9,24,-0.5,1,0,0,1,4,1,0,56,462,12:29,23,73,5,12
Jeremy Morin\morinje01,19,CHI,LW,9,2,1,3,2,9,0.4,2,0,0,0,0,1,0,13,109,12:06,2,12,0,0
Travis Morin\morintr01,27,DAL,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,8:52,2,1,8,6
Derek Morris\morride01,32,PHX,D,77,5,11,16,-2,58,3.1,4,1,0,1,10,0,1,83,1622,21:04,136,117,2,1
Brendan Morrison\morribr01,35,CGY,C,66,9,34,43,13,16,4.2,5,3,1,1,24,9,1,89,1102,16:42,18,22,378,384
Shaone Morrisonn\morrish01,28,BUF,D,62,1,4,5,-2,32,1.2,1,0,0,1,4,0,0,44,1003,16:10,86,110,0,0
Brenden Morrow\morrobr01,32,DAL,LW,82,33,23,56,-3,76,7.1,23,9,1,5,19,4,0,209,1577,19:14,43,225,1,10
Dave Moss\mossda01,29,CGY,LW,58,17,13,30,9,18,4.1,12,5,0,3,11,2,0,127,794,13:41,32,92,157,207
Mike Mottau\mottami01,32,NYI,D,20,0,3,3,-12,8,-0.3,0,0,0,0,2,1,0,21,407,20:20,33,17,0,0
