Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,TOI,ATOI,BLK,HIT,FOW,FOL
Alexander Edler\edleral01,30,VAN,D,68,6,15,21,-20,36,3.6,4,2,0,0,13,2,0,138,1653,24:19:00,138,106,2,1
Joel Edmundson\edmunjo01,23,STL,D,69,3,12,15,11,60,4.2,3,0,0,1,12,0,0,81,1226,17:46,95,122,0,0
Nikolaj Ehlers\ehlerni01,20,WPG,LW,82,25,39,64,1,38,7.2,20,5,0,4,32,7,0,204,1434,17:29,28,43,0,4
Jack Eichel\eicheja01,20,BUF,C,61,24,33,57,-13,22,6.6,14,10,0,4,19,14,0,249,1215,19:55,35,26,310,486
Aaron Ekblad\ekblaaa01,20,FLA,D,68,10,11,21,-23,58,3.4,5,4,1,2,7,4,0,225,1459,21:28,62,88,0,0
Mattias Ekholm\ekholma01,26,NSH,D,82,3,20,23,4,34,4.6,3,0,0,1,16,3,1,120,1924,23:28,108,61,0,0
Oliver Ekman-Larsson\ekmanol01,25,ARI,D,79,12,27,39,-25,48,5.6,4,8,0,1,16,11,0,145,1945,24:37:00,85,112,0,0
Remi Elie\eliere01,21,DAL,LW,18,1,6,7,5,8,0.6,1,0,0,0,6,0,0,15,281,15:38,11,30,1,0
Lars Eller\ellerla01,27,WSH,C,81,12,13,25,15,36,2.6,11,0,1,2,12,1,0,115,1126,13:54,30,71,416,467
Ryan Ellis\ellisry01,26,NSH,D,71,16,22,38,17,29,8.7,11,4,1,3,13,7,2,140,1701,23:57,137,64,0,0
Alexei Emelin\emelial01,30,MTL,D,76,2,8,10,1,71,3,2,0,0,0,8,0,0,82,1620,21:19,127,241,0,0
Deryk Engelland\engelde01,34,CGY,D,81,4,12,16,2,85,3.9,4,0,0,2,12,0,0,107,1485,18:20,134,135,1,0
Andreas Englund\engluan01,21,OTT,D,5,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,3,53,10:38,0,18,0,0
Tyler Ennis\ennisty01,27,BUF,LW,51,5,8,13,-10,12,0.6,5,0,0,1,5,3,0,89,655,12:50,23,45,3,13
Toby Enstrom\enstrto01,32,WPG,D,60,1,13,14,-7,42,1.3,0,0,1,0,7,6,0,46,1314,21:54,94,24,0,0
Jonathan Ericsson\ericsjo01,32,DET,D,51,1,8,9,-2,63,2.1,1,0,0,0,8,0,0,43,980,19:13,36,86,0,0
Loui Eriksson\erikslo01,31,VAN,LW,65,11,13,24,-9,8,1.8,6,5,0,1,10,2,1,132,1214,18:41,26,11,0,1
Joel Eriksson Ek\eriksjo02,20,MIN,LW,15,3,4,7,1,4,0.8,3,0,0,1,4,0,0,15,159,10:37,8,23,45,64
Adam Erne\ernead01,21,TBL,LW,26,3,0,3,-9,11,-0.2,3,0,0,0,0,0,0,40,307,11:48,13,71,0,2
Emerson Etem\etemem01,24,ANA,LW,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,26,8:48,0,4,0,1
Robby Fabbri\fabbrro01,21,STL,C,51,11,18,29,-16,27,2.5,7,4,0,0,13,5,0,91,796,15:37,14,64,13,11
Radek Faksa\faksara01,23,DAL,C,80,12,21,33,-6,67,2.4,12,0,0,0,19,2,0,132,1294,16:10,62,101,590,632
Justin Falk\falkju01,28,BUF,D,52,0,8,8,-3,29,1.5,0,0,0,0,8,0,0,33,712,13:42,40,101,1,0
Bobby Farnham\farnhbo01,28,MTL,RW,3,0,0,0,0,17,0,0,0,0,0,0,0,0,4,25,8:16,2,8,1,0
Hudson Fasching\faschhu01,21,BUF,RW,10,0,1,1,-1,2,-0.1,0,0,0,0,1,0,0,6,104,10:25,2,17,0,0
Jesper Fast\fastje01,25,NYR,RW,68,6,15,21,6,16,1.5,6,0,0,1,15,0,0,56,938,13:48,44,99,17,27
Justin Faulk\faulkju01,24,CAR,D,75,17,20,37,-18,32,6.6,13,4,0,2,11,9,0,225,1736,23:08,84,117,0,0
Mark Fayne\faynema01,29,EDM,D,4,0,2,2,1,0,0.3,0,0,0,0,2,0,0,4,32,7:55,2,1,0,0
Taylor Fedun\fedunta01,28,BUF,D,27,0,7,7,3,16,1.5,0,0,0,0,4,3,0,24,361,13:22,20,7,0,0
Eric Fehr\fehrer01,31,TOT,C,53,6,5,11,2,14,0.7,6,0,0,3,5,0,0,62,579,10:56,35,82,79,76
Micheal Ferland\ferlami01,24,CGY,LW,76,15,10,25,-1,50,2.9,13,2,0,1,8,2,0,106,879,11:34,26,149,3,4
Kevin Fiala\fialake01,20,NSH,LW,54,11,5,16,1,18,1.8,11,0,0,1,5,0,0,114,730,13:31,14,44,0,0
Vernon Fiddler\fiddlve01,36,TOT,LW,59,2,2,4,-15,66,-1,1,0,1,0,2,0,0,48,687,11:39,33,57,370,316
Valtteri Filppula\filppva01,32,TOT,C,79,12,30,42,-1,26,3.7,12,0,0,1,23,7,0,97,1375,17:24,39,26,556,606
Christian Fischer\fischch01,19,ARI,RW,7,3,0,3,0,0,0.5,3,0,0,1,0,0,0,10,86,12:20,0,9,0,0
Mike Fisher\fishemi01,36,NSH,C,72,18,24,42,1,55,4.7,11,7,0,3,14,10,0,120,1196,16:37,64,160,703,577
Brian Flynn\flynnbr01,28,MTL,C,51,6,4,10,2,4,0.8,6,0,0,0,4,0,0,47,615,12:04,29,20,69,80
Marcus Foligno\foligma01,25,BUF,LW,80,13,10,23,-1,73,2.1,12,0,1,0,10,0,0,97,1238,15:28,57,279,1,4
Nick Foligno\foligni01,29,CBJ,LW,79,26,25,51,-4,55,5.9,15,11,0,5,15,10,0,185,1456,18:26,50,157,41,48
Christian Folin\folinch01,25,MIN,D,51,2,6,8,10,26,2.3,2,0,0,0,6,0,0,39,762,14:56,59,69,0,0
Derek Forbort\forbode01,24,LAK,D,82,2,16,18,8,54,5.6,2,0,0,0,15,0,1,100,1650,20:07,159,180,1,0
Jakob Forsbacka Karlsson\forsbja01,20,BOS,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8:25,0,0,1,1
Filip Forsberg\forsbfi01,22,NSH,LW,82,31,27,58,-4,32,7.2,25,3,3,9,21,6,0,234,1518,18:31,26,97,5,13
Gustav Forsling\forslgu02,20,CHI,D,38,2,3,5,3,4,1.3,2,0,0,0,2,1,0,48,563,14:49,17,16,0,0
Cam Fowler\fowleca01,25,ANA,D,80,11,28,39,7,20,8.3,5,5,1,3,17,10,1,186,1988,24:51:00,134,29,0,0
Cody Franson\fransco01,29,BUF,D,68,3,16,19,-5,34,3.6,2,1,0,0,15,1,0,93,1257,18:29,68,87,0,0
Martin Frk\frkma01,23,CAR,RW,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,17,8:20,1,3,0,0
Byron Froese\froesby01,25,TOT,C,6,0,0,0,-3,5,-0.2,0,0,0,0,0,0,0,6,63,10:33,4,3,26,30
Michael Frolik\frolimi01,28,CGY,RW,82,17,27,44,13,58,4.9,12,3,2,1,21,5,1,202,1401,17:05,48,60,13,16
Marian Gaborik\gaborma01,34,LAK,RW,56,10,11,21,-4,18,2.2,7,3,0,3,9,2,0,123,828,14:47,15,21,0,1
Kurtis Gabriel\gabriku01,23,MIN,RW,13,0,1,1,0,29,0,0,0,0,0,1,0,0,3,76,5:49,1,26,0,0
Sam Gagner\gagnesa01,27,CBJ,C,81,18,32,50,10,22,6.1,10,8,0,1,22,10,0,178,1111,13:43,16,22,202,223
Alex Galchenyuk\galchal01,22,MTL,C,61,17,27,44,-5,24,4.9,11,6,0,6,18,9,0,104,972,15:56,32,36,274,368
Brendan Gallagher\gallabr01,24,MTL,RW,64,10,19,29,7,39,3,9,1,0,2,17,2,0,187,966,15:06,15,69,30,44
Ryan Garbutt\garbury01,31,ANA,LW,27,2,1,3,-3,20,0,2,0,0,1,0,0,1,26,247,9:10,12,53,7,4
Jake Gardiner\gardija01,26,TOR,D,82,9,34,43,24,34,8.7,7,2,0,2,23,11,0,127,1766,21:32,83,69,0,0
Jason Garrison\garrija01,32,TBL,D,70,1,8,9,-8,14,1.8,1,0,0,0,8,0,0,96,1300,18:34,91,93,0,0
Tyler Gaudet\gaudety01,23,ARI,C,4,0,1,1,0,0,0,0,0,0,0,1,0,0,3,52,12:59,1,3,14,21
Frederick Gaudreau\gaudrfr01,23,NSH,C,9,0,1,1,1,0,0,0,0,0,0,1,0,0,8,78,8:40,5,1,4,8
Johnny Gaudreau\gaudrjo01,23,CGY,LW,72,18,43,61,-7,4,6.1,14,4,0,3,31,12,0,182,1331,18:29,14,9,0,0
Brendan Gaunce\gauncbr01,22,VAN,LW,57,0,5,5,-2,33,-0.3,0,0,0,0,5,0,0,51,541,9:29,12,94,84,80
Cameron Gaunce\gauncca01,26,PIT,D,12,1,3,4,1,13,0.6,1,0,0,0,3,0,0,8,150,12:31,10,23,0,0
Frederik Gauthier\gauthfr01,21,TOR,C,21,2,1,3,2,23,0.3,2,0,0,0,1,0,0,15,204,9:42,17,17,120,115
Luke Gazdic\gazdilu01,27,NJD,LW,11,0,0,0,-2,12,-0.2,0,0,0,0,0,0,0,3,78,7:08,6,16,0,0
Eric Gelinas\geliner01,25,COL,D,27,0,1,1,-4,12,0.2,0,0,0,0,1,0,0,29,313,11:35,16,32,0,1
Ryan Getzlaf\getzlry01,31,ANA,C,74,15,58,73,7,49,7.6,7,6,2,3,43,14,1,138,1559,21:04,88,99,509,503
Tom Gilbert\gilbeto01,34,LAK,D,18,1,4,5,-4,6,0.8,1,0,0,0,3,1,0,12,278,15:27,28,10,0,0
Brian Gionta\giontbr01,38,BUF,RW,82,15,20,35,-11,22,3,11,3,1,3,15,4,1,149,1362,16:36,30,54,46,60
Stephen Gionta\giontst01,33,NYI,RW,26,1,5,6,9,2,0.6,1,0,0,0,5,0,0,17,291,11:12,7,56,56,64
Mark Giordano\giordma01,33,CGY,D,81,12,27,39,22,59,9.4,7,3,2,4,15,11,1,151,1910,23:35,184,78,0,0
Dan Girardi\girarda01,32,NYR,D,63,4,11,15,8,16,3.3,3,0,1,3,10,0,1,56,1203,19:06,166,107,0,0
Zemgus Girgensons\girgeze01,23,BUF,C,75,7,9,16,-7,18,0.8,7,0,0,0,9,0,0,112,987,13:10,26,120,273,306
Claude Giroux\giroucl01,29,PHI,C,82,14,44,58,-15,38,4.9,9,5,0,3,17,26,1,199,1568,19:07,28,68,977,771
Tanner Glass\glassta01,33,NYR,LW,11,1,1,2,0,17,0.1,1,0,0,0,1,0,0,8,120,10:55,4,37,2,0
Luke Glendening\glendlu01,27,DET,C,74,3,11,14,-10,26,0,3,0,0,0,10,1,0,76,956,12:55,62,150,307,261
Nikolay Goldobin\goldoni01,21,TOT,RW,14,3,0,3,0,0,0.4,3,0,0,1,0,0,0,14,159,11:22,4,1,0,0
Alex Goligoski\goligal01,31,ARI,D,82,6,30,36,-9,28,5.9,4,1,1,0,22,7,1,112,1913,23:20,143,137,0,0
Cody Goloubef\golouco01,27,COL,D,33,0,5,5,-11,25,0.4,0,0,0,0,5,0,0,35,561,16:59,33,30,0,0
Barclay Goodrow\goodrba01,23,SJS,RW,3,0,1,1,0,0,0.1,0,0,0,0,1,0,0,3,34,11:18,1,3,0,0
Boyd Gordon\gordobo01,33,PHI,C,13,1,0,1,-5,2,-0.2,1,0,0,0,0,0,0,8,106,8:11,7,4,48,38
Josh Gorges\gorgejo01,32,BUF,D,66,1,5,6,-3,50,2.1,1,0,0,0,5,0,0,40,1218,18:27,108,143,0,1
Shayne Gostisbehere\gostish01,23,PHI,D,76,7,32,39,-21,32,5.2,5,2,0,1,11,21,0,198,1489,19:36,94,43,0,0
Yanni Gourde\gourdya01,25,TBL,C,20,6,2,8,-1,8,1,5,0,1,1,2,0,0,30,307,15:22,3,11,60,103
Michael Grabner\grabnmi01,29,NYR,RW,76,27,13,40,22,10,6.3,26,0,1,3,11,0,2,162,1071,14:06,34,41,7,6
Petter Granberg\granbpe01,24,NSH,D,10,0,0,0,0,10,0.1,0,0,0,0,0,0,0,4,96,9:38,9,17,0,0
Markus Granlund\granlma01,23,VAN,C,69,19,13,32,-19,14,3.2,16,3,0,3,9,4,0,122,1194,17:19,11,32,40,61
Mikael Granlund\granlmi01,24,MIN,C,81,26,43,69,23,12,8.5,16,7,3,4,29,13,1,177,1525,18:49,50,50,16,17
Derek Grant\grantde01,26,TOT,C,46,0,4,4,-5,24,-0.5,0,0,0,0,4,0,0,40,449,9:46,29,27,200,183
Tyler Graovac\graovty01,23,MIN,C,52,7,2,9,7,10,1.1,7,0,0,2,2,0,0,48,512,9:50,15,52,163,180
Kevin Gravel\graveke01,24,LAK,D,49,1,6,7,3,6,2.3,0,1,0,0,5,1,0,52,693,14:09,65,73,0,0
Mike Green\greenmi03,31,DET,D,72,14,22,36,-20,40,5.8,11,3,0,2,15,7,0,125,1696,23:33,92,67,0,0
Andy Greene\greenan01,34,NJD,D,66,4,9,13,-16,8,2.5,2,1,1,1,6,3,0,83,1448,21:57,124,50,0,0
Matt Greene\greenma01,33,LAK,D,26,1,1,2,3,19,1.2,1,0,0,0,1,0,0,14,343,13:11,27,71,0,0
A.J. Greer\greeraj01,20,COL,LW,5,0,1,1,-2,4,-0.1,0,0,0,0,1,0,0,8,68,13:39,3,4,0,0
Alexandre Grenier\grenial01,25,VAN,RW,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,19,6:29,0,3,2,0
Seth Griffith\griffse01,24,TOT,C,24,0,5,5,6,8,0.3,0,0,0,0,4,1,0,21,306,12:44,5,30,2,6
Mikhail Grigorenko\grigomi01,22,COL,C,75,10,13,23,-14,18,1.6,10,0,0,0,9,4,0,85,1057,14:05,26,27,111,81
Rocco Grimaldi\grimaro01,23,COL,C,4,0,1,1,-3,2,-0.1,0,0,0,0,1,0,0,11,44,11:00,4,1,0,0
Nicklas Grossmann\grossni01,32,CGY,D,3,0,0,0,-4,2,-0.3,0,0,0,0,0,0,0,3,39,13:01,1,7,0,0
Eric Gryba\grybaer01,28,EDM,D,40,2,4,6,-5,65,1,2,0,0,2,4,0,0,45,646,16:08,47,145,0,0
Matt Grzelcyk\grzelma01,23,BOS,D,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,25,12:29,1,0,0,0
Radko Gudas\gudasra01,26,PHI,D,67,6,17,23,8,93,5.5,6,0,0,0,16,1,0,113,1293,19:18,124,280,0,0
Erik Gudbranson\gudbrer01,25,VAN,D,30,1,5,6,-14,18,0.5,1,0,0,1,5,0,0,40,610,20:20,44,66,0,0
Jake Guentzel\guentja01,22,PIT,C,40,16,17,33,7,10,4.4,15,1,0,0,15,2,0,81,635,15:53,18,61,8,8
Brendan Guhle\guhlebr01,19,BUF,D,3,0,0,0,1,0,0.1,0,0,0,0,0,0,0,4,49,16:21,8,3,0,0
Carl Gunnarsson\gunnaca01,30,STL,D,56,0,6,6,-5,4,1,0,0,0,0,6,0,0,32,761,13:36,68,42,0,0
Denis Gurianov\guriade01,19,DAL,RW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,13,13:06,3,1,0,0
Carl Hagelin\hagelca01,28,PIT,LW,61,6,16,22,10,16,1.5,6,0,0,2,15,0,1,128,945,15:29,24,66,3,3
Robert Hagg\haggro01,21,PHI,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,21:19,3,4,0,0
Ron Hainsey\hainsro01,35,TOT,D,72,4,13,17,-8,21,3.2,3,0,1,1,11,0,2,71,1586,22:02,120,93,0,0
Micheal Haley\haleymi01,30,SJS,C,58,2,10,12,6,128,1,2,0,0,1,10,0,0,37,532,9:11,23,129,66,83
Taylor Hall\hallta02,25,NJD,LW,72,20,33,53,-9,32,5.9,13,7,0,4,25,8,0,238,1392,19:20,31,59,8,10
Dan Hamhuis\hamhuda01,34,DAL,D,79,1,15,16,-7,23,2.2,0,1,0,0,13,0,2,83,1529,19:22,100,93,0,0
Dougie Hamilton\hamildo01,23,CGY,D,81,13,37,50,12,64,9.5,11,2,0,5,24,12,1,222,1594,19:41,94,68,0,0
Freddie Hamilton\hamilfr01,25,CGY,C,26,2,0,2,-3,8,-0.1,2,0,0,1,0,0,0,30,254,9:47,1,46,75,51
Travis Hamonic\hamontr01,26,NYI,D,49,3,11,14,-21,60,0.6,3,0,0,0,10,1,0,74,1002,20:27,108,58,0,0
Noah Hanifin\hanifno01,20,CAR,D,81,4,25,29,-19,26,3.8,2,2,0,1,16,9,0,108,1452,17:55,73,57,0,0
Joel Hanley\hanlejo01,25,MTL,D,7,0,0,0,-3,4,-0.2,0,0,0,0,0,0,0,5,71,10:09,4,8,0,0
Markus Hannikainen\hannima01,23,CBJ,LW,10,1,1,2,0,6,0.2,1,0,0,0,1,0,0,8,91,9:08,5,16,0,0
Jannik Hansen\hanseja01,30,TOT,RW,43,8,12,20,2,34,2.2,8,0,0,1,12,0,0,73,690,16:03,15,43,0,1
Martin Hanzal\hanzama01,29,TOT,C,71,20,19,39,-17,53,3.7,15,5,0,2,15,4,0,169,1258,17:43,58,145,767,593
Shane Harper\harpesh01,27,FLA,RW,14,2,1,3,-1,18,0.3,2,0,0,0,1,0,0,13,144,10:18,0,19,0,0
Ben Harpur\harpube01,22,OTT,D,6,0,0,0,-1,0,0,0,0,0,0,0,0,0,3,107,17:48,3,5,0,0
Scott Harrington\harrisc01,23,CBJ,D,22,1,2,3,3,10,0.9,1,0,0,0,2,0,0,16,286,13:00,24,21,0,0
Ryan Hartman\hartmry01,22,CHI,LW,76,19,12,31,13,70,4.2,18,1,0,4,12,0,0,170,970,12:46,30,121,25,37
Scott Hartnell\hartnsc01,34,CBJ,LW,78,13,24,37,14,63,4.6,11,2,0,1,23,1,0,104,941,12:04,40,94,3,3
Garnet Hathaway\hathaga01,25,CGY,RW,26,1,4,5,0,44,0.3,1,0,0,0,4,0,0,22,238,9:08,14,56,10,9
Erik Haula\haulaer01,25,MIN,C,72,15,11,26,5,28,2.8,14,1,0,4,11,0,0,134,995,13:49,38,39,404,346
John Hayden\haydejo01,21,CHI,LW,12,1,3,4,3,4,0.4,1,0,0,0,3,0,0,22,140,11:41,2,44,0,0
Jimmy Hayes\hayesji01,27,BOS,RW,58,2,3,5,-3,29,-0.1,2,0,0,1,3,0,0,74,535,9:14,10,74,14,41
Kevin Hayes\hayeske01,24,NYR,RW,76,17,32,49,10,18,5.3,15,1,1,4,20,6,6,143,1258,16:34,30,40,442,526
Victor Hedman\hedmavi01,26,TBL,D,79,16,56,72,3,47,12,12,4,0,5,27,29,0,166,1936,24:30:00,132,93,0,0
Tim Heed\heedti01,26,SJS,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16:29,2,0,0,0
Danton Heinen\heineda01,21,BOS,C,8,0,0,0,-3,2,-0.3,0,0,0,0,0,0,0,7,106,13:14,2,6,0,0
Seth Helgeson\helgese01,26,NJD,D,9,1,0,1,2,15,0.6,1,0,0,0,0,0,0,3,121,13:28,11,16,0,0
Darren Helm\helmda01,30,DET,C,50,8,9,17,-6,20,1.4,6,2,0,1,6,2,1,98,768,15:22,18,71,216,204
Ales Hemsky\hemskal01,33,DAL,RW,15,4,3,7,-1,0,0.8,3,1,0,0,2,1,0,30,216,14:25,4,1,0,0
Matt Hendricks\hendrma01,35,EDM,LW,42,4,3,7,-3,29,0.3,4,0,0,1,3,0,0,42,451,10:45,39,79,132,100
Samuel Henley\henlesa01,23,COL,C,1,1,0,1,1,2,0.3,1,0,0,0,0,0,0,1,5,5:18,0,2,0,1
Adam Henrique\henriad01,26,NJD,C,82,20,20,40,-20,38,3.9,12,6,2,2,15,4,1,142,1490,18:10,67,87,585,628
Tomas Hertl\hertlto01,23,SJS,C,49,10,12,22,-8,14,1.9,9,1,0,4,11,1,0,100,844,17:13,42,76,245,229
Thomas Hickey\hicketh01,27,NYI,D,76,4,16,20,-1,35,3.2,4,0,0,2,13,3,0,87,1331,17:31,103,89,0,0
Vinnie Hinostroza\hinosvi01,22,CHI,LW,49,6,8,14,-1,17,1.1,6,0,0,2,8,0,0,76,587,11:59,19,31,68,103
Niklas Hjalmarsson\hjalmni01,29,CHI,D,73,5,13,18,12,20,4.4,5,0,0,0,12,0,1,61,1569,21:30,181,23,0,0
Joshua Ho-Sang\hosanjo01,21,NYI,RW,21,4,6,10,1,12,1,3,1,0,0,5,1,0,22,346,16:27,2,4,0,2
Mike Hoffman\hoffmmi02,27,OTT,LW,74,26,35,61,17,51,8.3,13,13,0,8,22,13,0,224,1302,17:36,21,41,12,9
Nick Holden\holdeni01,29,NYR,D,80,11,23,34,13,35,6.8,8,3,0,2,21,1,1,84,1649,20:37,88,164,0,1
Peter Holland\hollape01,26,TOT,C,48,5,7,12,-16,22,0.2,4,1,0,0,7,0,0,79,612,12:45,9,37,228,274
Korbinian Holzer\holzeko01,28,ANA,D,32,2,5,7,0,23,1.5,2,0,0,0,5,0,0,14,432,13:31,34,71,0,0
Julius Honka\honkaju01,21,DAL,D,16,1,4,5,-4,4,0.5,1,0,0,1,3,1,0,34,270,16:52,15,9,0,0
Patric Hornqvist\hornqpa01,30,PIT,RW,70,21,23,44,16,28,5.5,11,10,0,6,16,7,0,223,1117,15:57,62,227,3,8
Bo Horvat\horvabo01,21,VAN,C,81,20,32,52,-7,27,5.7,15,3,2,1,25,7,0,158,1461,18:02,41,65,756,742
Marian Hossa\hossama01,38,CHI,RW,73,26,19,45,7,8,5.8,20,5,1,7,13,6,0,167,1231,16:51,36,32,5,9
Quinton Howden\howdequ01,25,WPG,C,5,0,0,0,1,0,0,0,0,0,0,0,0,0,5,43,8:39,0,4,0,2
Marek Hrivik\hrivima01,25,NYR,LW,16,0,2,2,-3,2,-0.2,0,0,0,0,1,1,0,15,167,10:25,5,19,32,48
Jonathan Huberdeau\huberjo01,23,FLA,LW,31,10,16,26,-2,13,3.1,7,3,0,2,12,4,0,86,556,17:55,7,18,4,5
Jiri Hudler\hudleji01,33,DAL,RW,32,3,8,11,-3,4,0.7,2,1,0,1,8,0,0,27,379,11:51,3,9,3,2
Charles Hudon\hudonch01,22,MTL,LW,3,0,2,2,1,2,0.2,0,0,0,0,2,0,0,3,36,11:56,0,11,0,0
Brad Hunt\huntbr01,28,TOT,D,12,1,5,6,-1,2,0.9,0,1,0,0,4,1,0,14,174,14:30,3,0,0,0
Matt Hunwick\hunwima01,31,TOR,D,72,1,18,19,8,18,3.6,1,0,0,0,18,0,0,73,1294,17:59,90,91,0,0
Ben Hutton\huttobe01,23,VAN,D,71,5,14,19,-22,31,2.9,3,2,0,1,5,9,0,130,1455,20:30,106,46,0,0
Zach Hyman\hymanza01,24,TOR,C,82,10,18,28,2,30,1.8,6,0,4,3,18,0,0,156,1369,16:42,43,109,11,18
Jarome Iginla\iginlja01,39,TOT,RW,80,14,13,27,-30,70,1.6,7,7,0,4,9,4,0,153,1210,15:08,21,116,16,14
Matt Irwin\irwinma01,29,NSH,D,74,3,11,14,15,26,4,3,0,0,1,9,0,2,98,1204,16:16,121,115,0,0
Jaromir Jagr\jagrja01,44,FLA,RW,82,16,30,46,2,56,4.9,8,8,0,2,25,5,0,181,1394,17:00,4,21,1,1
Mark Jankowski\jankoma01,22,CGY,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10:18,0,1,5,3
Calle Jarnkrok\jarnkca01,25,NSH,C,81,15,16,31,-1,25,2.9,12,2,1,1,12,2,2,134,1274,15:44,29,49,452,463
Dmitrij Jaskin\jaskidm01,23,STL,RW,51,1,10,11,5,18,0.6,1,0,0,0,10,0,0,55,589,11:33,19,98,5,5
Boone Jenner\jennebo01,23,CBJ,C,82,18,16,34,14,52,4.1,16,0,2,4,15,1,0,211,1317,16:04,80,216,92,92
Nick Jensen\jenseni02,26,DET,D,49,4,9,13,-7,12,2.3,4,0,0,0,8,0,1,59,870,17:45,56,55,0,0
Nicklas Jensen\jenseni01,23,NYR,RW,7,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,8,65,9:13,2,7,0,0
Ryan Johansen\johanry01,24,NSH,C,82,14,47,61,1,60,5.8,9,4,1,3,28,19,0,154,1545,18:50,28,77,803,669
Marcus Johansson\johanma03,26,WSH,LW,82,24,34,58,25,10,7.5,19,5,0,5,20,14,0,129,1394,17:00,22,32,13,15
Stephen Johns\johnsst03,24,DAL,D,61,4,6,10,-10,36,1.3,4,0,0,1,5,1,0,91,1114,18:15,130,159,0,0
Erik Johnson\johnser01,28,COL,D,46,2,15,17,-6,9,2.9,2,0,0,1,9,6,0,96,1016,22:05,98,87,0,0
Jack Johnson\johnsja02,30,CBJ,D,82,5,18,23,23,32,6.3,4,1,0,1,16,1,1,116,1789,21:49,134,94,1,0
Tyler Johnson\johnsty01,26,TBL,C,66,19,26,45,-5,28,4.8,13,6,0,3,15,11,0,130,1242,18:49,30,46,583,539
Ryan Johnston\johnsry02,24,MTL,D,7,0,0,0,-3,4,-0.2,0,0,0,0,0,0,0,3,69,9:52,2,1,0,0
Jussi Jokinen\jokinju01,33,FLA,LW,69,11,17,28,-15,39,1.9,6,4,1,2,11,6,0,118,1201,17:25,33,28,75,69
Jyrki Jokipakka\jokipjy01,25,TOT,D,41,1,5,6,-4,12,1.1,1,0,0,0,5,0,0,29,592,14:26,32,31,0,0
Connor Jones\jonesco01,26,NYI,C,4,0,0,0,1,2,0,0,0,0,0,0,0,0,2,47,11:51,3,13,8,5
Seth Jones\jonesse01,22,CBJ,D,75,12,30,42,6,24,7.8,11,1,0,3,24,6,0,152,1755,23:24,118,61,0,0
Josh Jooris\joorijo01,26,TOT,RW,54,4,8,12,-2,16,0.6,4,0,0,0,7,0,1,75,659,12:12,30,49,222,228
Jacob Josefson\josefja01,25,NJD,C,38,1,9,10,-1,16,0.6,1,0,0,1,8,1,0,44,465,12:15,12,31,162,151
Roman Josi\josiro01,26,NSH,D,72,12,37,49,7,18,8.7,5,7,0,1,25,11,1,217,1805,25:04:00,119,54,0,0
Tyson Jost\jostty01,18,COL,C,6,1,0,1,-5,0,-0.1,1,0,0,0,0,0,0,9,94,15:41,3,3,28,42
Tomas Jurco\jurcoto01,24,TOT,LW,29,1,0,1,-12,4,-0.8,1,0,0,0,0,0,0,35,308,10:38,9,21,0,1
Nazem Kadri\kadrina01,26,TOR,C,82,32,29,61,-7,95,7.6,20,12,0,6,24,5,0,236,1360,16:35,31,124,543,587
Sergey Kalinin\kalinse01,25,NJD,C,43,2,2,4,-14,15,-0.7,2,0,0,0,2,0,0,38,550,12:48,20,53,72,102
Vladislav Kamenev\kamenvl01,20,NSH,LW,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,1,20,10:04,1,1,6,7
Steven Kampfer\kampfst01,28,TOT,D,11,1,1,2,-2,6,0.2,1,0,0,0,1,0,0,10,146,13:15,10,24,0,0
Evander Kane\kaneev01,25,BUF,LW,70,28,15,43,-17,113,5.1,25,3,0,5,10,5,0,260,1344,19:12,29,109,55,67
Patrick Kane\kanepa01,28,CHI,RW,82,34,55,89,11,32,10.8,27,7,0,5,39,16,0,292,1754,21:24,15,28,7,44
Kasperi Kapanen\kapanka01,20,TOR,RW,8,1,0,1,-2,0,0,1,0,0,0,0,0,0,11,86,10:42,2,6,0,0
Michael Kapla\kaplami01,22,NJD,D,5,0,0,0,-1,0,0,0,0,0,0,0,0,0,4,87,17:26,5,5,0,0
Erik Karlsson\karlser01,26,OTT,D,77,17,54,71,10,28,12.9,13,4,0,5,29,23,2,218,2066,26:50:00,201,67,0,0
Melker Karlsson\karlsme01,26,SJS,C,67,11,11,22,7,22,2.6,9,0,2,1,11,0,0,73,858,12:48,59,67,1,5
William Karlsson\karlswi01,24,CBJ,C,81,6,19,25,10,10,2,5,1,0,3,17,0,2,96,1084,13:23,24,35,435,525
