Player Photo,NHL Player,Games,Penalties,Minors,Penalty Minutes,PIM/Game,fWHR,scaled
"<a href=""http://www.espn.com/nhl/player/_/id/2300267""><img src=""../NHL/images2300267.png""></a>",Carl Hagelin,58,15,15,30,0.5,2,0.74829932
"<a href=""http://www.espn.com/nhl/player/_/id/3387""><img src=""../NHL/images3387.png""></a>",Carl Soderberg,82,13,13,26,0.3,2.142857143,0.801749271
"<a href=""http://www.espn.com/nhl/player/_/id/4064582""><img src=""../NHL/images4064582.png""></a>",Carter Hart,31,0,0,0,0,2.138888889,0.80026455
"<a href=""http://www.espn.com/nhl/player/_/id/5420""><img src=""../NHL/images5420.png""></a>",Carter Hutton,50,1,1,2,0,1.947368421,0.728607232
"<a href=""http://www.espn.com/nhl/player/_/id/2501172""><img src=""../NHL/images2501172.png""></a>",Carter Rowney,62,6,6,12,0.2,2.118421053,0.792606516
"<a href=""http://www.espn.com/nhl/player/_/id/5262""><img src=""../NHL/images5262.png""></a>",Casey Cizikas,73,14,13,36,0.5,2.056338028,0.769378174
"<a href=""http://www.espn.com/nhl/player/_/id/3025540""><img src=""../NHL/images3025540.png""></a>",Casey DeSmith,36,1,1,2,0.1,2.072463768,0.775411614
"<a href=""http://www.espn.com/nhl/player/_/id/4233575""><img src=""../NHL/images4233575.png""></a>",Casey Mittelstadt,77,5,5,10,0.1,2.462686567,0.921413341
"<a href=""http://www.espn.com/nhl/player/_/id/3096177""><img src=""../NHL/images3096177.png""></a>",Casey Nelson,38,5,4,13,0.3,1.879518072,0.703221047
"<a href=""http://www.espn.com/nhl/player/_/id/3067906""><img src=""../NHL/images3067906.png""></a>",Cedric Paquette,80,33,30,80,1,1.905405405,0.712906784
"<a href=""http://www.espn.com/nhl/player/_/id/5178""><img src=""../NHL/images5178.png""></a>",Chad Johnson,19,0,0,0,0,1.805194805,0.675413022
"<a href=""http://www.espn.com/nhl/player/_/id/3024837""><img src=""../NHL/images3024837.png""></a>",Chad Ruhwedel,18,2,2,4,0.2,2.188405797,0.818791285
"<a href=""http://www.espn.com/nhl/player/_/id/3067858""><img src=""../NHL/images3067858.png""></a>",Chandler Stephenson,64,0,0,0,0,1.941176471,0.726290516
"<a href=""http://www.espn.com/nhl/player/_/id/3031654""><img src=""../NHL/images3031654.png""></a>",Charles Hudon,32,8,8,16,0.5,2.071428571,0.775024295
"<a href=""http://www.espn.com/nhl/player/_/id/2555315""><img src=""../NHL/images2555315.png""></a>",Charlie Coyle,81,10,10,20,0.2,1.941176471,0.726290516
"<a href=""http://www.espn.com/nhl/player/_/id/3095975""><img src=""../NHL/images3095975.png""></a>",Charlie Lindgren,1,0,0,0,0,2.136986301,0.799552698
"<a href=""http://www.espn.com/nhl/player/_/id/3988803""><img src=""../NHL/images3988803.png""></a>",Charlie McAvoy,54,20,18,45,0.8,2.23943662,0.83788445
"<a href=""http://www.espn.com/nhl/player/_/id/5833""><img src=""../NHL/images5833.png""></a>",Chris Kreider,79,23,21,57,0.7,2.166666667,0.810657596
